MONTH_YEAR,STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
07/23,5574.0,ULSOOR LAKE TRAINING CENTRE OF FISH BREEDING,"D (Propagation of wild life,fisheries)",4.4,8.0,466.0,4.0,1.0,11000.0,92000.0,7.142857142857142,112.0,5.0,112.0,68.0,44.0,1.5,0.4,136.0,72.0,64.0,5.0,54.0,316.0,14.285714285714286,0.2,0.5,15.0,0.2,43.42857142857143,1.7285714285714286,0.2642857142857143,2023.0
07/23,5574.0,ULSOOR LAKE TEMPLE,"D (Propagation of wild life,fisheries)",4.0,8.0,478.0,4.0,1.0,4800.0,35000.0,7.461538461538462,140.0,5.0,140.0,60.0,44.0,1.5,0.42,152.0,80.0,72.0,5.0,59.0,324.0,14.461538461538462,0.2,0.5,14.0,0.2,43.38461538461539,1.7230769230769232,0.2615384615384615,2023.0
07/23,5574.0,"Munekolalu Lake ,Marathahalli, East Taluka ,Bengalur","E (Irrigation, industrial cooling and controlled waste)",3.1,7.0,598.0,23.0,2.0,7000.0,160000.0,7.78021978021978,176.0,5.0,176.0,112.0,156.0,1.5,2.9,156.0,76.0,80.0,5.0,79.0,412.0,14.63736263736264,2.0,0.5,17.0,0.2,43.34065934065934,1.7175824175824177,0.2587912087912087,2023.0
07/23,5574.0,CHINNAPPANAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.4,7.0,700.0,5.0,3.0,3100.0,54000.0,8.098901098901099,144.0,5.0,144.0,128.0,44.0,1.5,0.9,148.0,72.0,76.0,5.0,100.0,490.0,14.813186813186814,0.3,0.5,15.0,0.3,43.2967032967033,1.7120879120879122,0.256043956043956,2023.0
07/23,5574.0,BASAVANAPURA LAKE,"D (Propagation of wild life,fisheries)",5.4,7.3,1048.0,6.0,4.0,6300.0,54000.0,8.417582417582416,176.0,5.0,176.0,176.0,76.0,1.5,0.4,184.0,100.0,84.0,43.0,140.0,704.0,14.989010989010987,0.2,0.5,30.0,0.33,43.252747252747255,1.7065934065934067,0.2532967032967033,2023.0
07/23,5574.0,KOTHANURU LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.2,7.4,1045.0,16.0,4.0,8400.0,92000.0,8.736263736263735,176.0,5.0,176.0,176.0,124.0,1.5,0.96,184.0,100.0,84.0,50.0,144.0,700.0,15.164835164835164,0.2,0.5,30.0,0.35,43.20879120879121,1.701098901098901,0.2505494505494505,2023.0
07/23,5574.0,GOTTIGERE LAKE,"D (Propagation of wild life,fisheries)",6.1,7.2,586.0,4.0,2.0,79000.0,1600000.0,9.054945054945057,132.0,5.0,132.0,72.0,44.0,1.5,0.4,100.0,56.0,44.0,44.0,76.0,400.0,15.34065934065934,0.2,0.5,16.0,0.2,43.16483516483517,1.6956043956043956,0.2478021978021977,2023.0
07/23,5574.0,KARIHOBANAHALLI LAKE,"E (Irrigation, industrial cooling and controlled waste)",1.1,6.9,1474.0,24.0,3.2,170000.0,2400000.0,9.373626373626372,432.0,5.0,432.0,356.0,156.0,1.5,8.2,436.0,224.0,212.0,38.0,101.0,1002.0,15.516483516483516,3.1,0.5,21.0,0.39,43.12087912087912,1.69010989010989,0.245054945054945,2023.0
07/23,5574.0,"Ulsoor Lake Near Kalyani,Bengaluru","D (Propagation of wild life,fisheries)",4.5,8.0,498.0,4.0,1.0,2700.0,24000.0,9.692307692307692,120.0,5.0,120.0,64.0,40.0,1.5,0.62,160.0,88.0,72.0,5.0,104.0,338.0,15.692307692307692,0.2,0.5,14.0,0.2,43.07692307692308,1.6846153846153846,0.2423076923076922,2023.0
07/23,5574.0,NELAMANGALA LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.2,6.5,1789.0,14.0,6.0,49000.0,240000.0,10.010989010989013,424.0,5.0,424.0,296.0,100.0,1.5,1.0,544.0,272.0,272.0,18.0,163.0,1196.0,15.868131868131869,1.5,0.5,21.0,0.4,43.03296703296704,1.6791208791208792,0.2395604395604395,2023.0
07/23,5574.0,PUTTENAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.5,7.3,1044.0,7.0,4.0,12000.0,92000.0,10.329670329670328,184.0,5.0,184.0,172.0,80.0,1.5,0.48,172.0,92.0,80.0,21.0,150.0,698.0,16.043956043956044,0.2,0.5,30.0,0.36,42.989010989010985,1.6736263736263737,0.2368131868131868,2023.0
07/23,5574.0,"Byrasandra Upper Lake,Bengaluru","D (Propagation of wild life,fisheries)",4.3,8.0,843.0,4.0,3.0,7900.0,160000.0,10.648351648351648,232.0,5.0,232.0,104.0,40.0,1.5,0.4,352.0,180.0,172.0,5.0,167.0,590.0,16.21978021978022,0.2,0.5,16.0,0.2,42.94505494505494,1.6681318681318682,0.234065934065934,2023.0
07/23,5574.0,RAMPURA LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.0,6.9,1418.0,12.0,6.0,4900.0,54000.0,10.967032967032967,344.0,5.0,344.0,216.0,112.0,1.5,1.2,516.0,264.0,252.0,14.0,69.0,964.0,16.395604395604394,2.0,0.5,32.0,0.3,42.9010989010989,1.6626373626373627,0.2313186813186813,2023.0
07/23,5574.0,KALENA AGRAHARA LAKE,"D (Propagation of wild life,fisheries)",5.0,7.0,550.0,5.0,2.0,2200.0,24000.0,11.285714285714285,44.0,5.0,44.0,92.0,48.0,1.5,0.5,184.0,96.0,88.0,5.0,73.0,378.0,16.571428571428573,0.2,0.5,17.0,0.2,42.857142857142854,1.6571428571428573,0.2285714285714285,2023.0
07/23,5574.0,ARAKERE LAKE,"D (Propagation of wild life,fisheries)",4.1,7.0,984.0,11.0,4.0,48000.0,350000.0,11.604395604395604,68.0,5.0,68.0,132.0,104.0,1.5,0.9,272.0,140.0,132.0,5.0,91.0,688.0,16.747252747252748,2.0,0.5,23.0,0.3,42.81318681318681,1.6516483516483518,0.2258241758241758,2023.0
07/23,5574.0,HOSAKEREHALLI LAKE,"D (Propagation of wild life,fisheries)",4.9,6.7,683.0,4.0,2.62,4900.0,92000.0,11.923076923076923,152.0,5.0,152.0,112.0,45.0,1.5,0.66,184.0,96.0,88.0,28.0,66.0,476.0,16.923076923076923,0.25,0.5,14.0,0.2,42.76923076923077,1.646153846153846,0.223076923076923,2023.0
07/23,5574.0,SOMPURA LAKE,"D (Propagation of wild life,fisheries)",4.7,7.9,1222.0,4.7,4.69,460.0,16000.0,12.24175824175824,280.0,5.0,280.0,208.0,44.0,1.5,0.72,332.0,172.0,160.0,50.0,108.0,858.0,17.0989010989011,0.2,0.5,24.0,0.38,42.72527472527472,1.6406593406593406,0.2203296703296703,2023.0
07/23,5574.0,UTTARAHALLI DORAIKERE,"E (Irrigation, industrial cooling and controlled waste)",3.4,8.1,262.0,17.0,0.8,4900.0,54000.0,12.56043956043956,76.0,5.0,76.0,36.0,170.0,1.5,1.8,68.0,40.0,28.0,5.0,27.0,182.0,17.274725274725277,0.2,0.5,3.0,0.2,42.68131868131868,1.6351648351648351,0.2175824175824175,2023.0
07/23,5574.0,MALATHAHALLI LAKE,"D (Propagation of wild life,fisheries)",5.0,7.9,1166.0,6.0,3.4,430.0,16000.0,12.879120879120878,328.0,5.0,328.0,180.0,62.0,1.5,0.54,316.0,164.0,152.0,18.0,113.0,794.0,17.450549450549453,0.49,0.5,15.0,0.43,42.637362637362635,1.6296703296703297,0.2148351648351648,2023.0
07/23,5574.0,ULLALU LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.2,7.1,602.0,17.0,1.7,22000.0,240000.0,13.197802197802195,172.0,5.0,172.0,92.0,173.0,1.5,2.9,160.0,88.0,72.0,9.0,59.0,424.0,17.626373626373628,0.3,0.5,8.0,0.22,42.59340659340659,1.6241758241758242,0.212087912087912,2023.0
07/23,5574.0,KODI SINGASANDRA LAKE,"D (Propagation of wild life,fisheries)",4.2,7.0,549.0,8.0,2.0,34000.0,240000.0,13.516483516483516,48.0,5.0,48.0,128.0,84.0,1.5,0.9,160.0,84.0,76.0,5.0,71.0,378.0,17.802197802197803,0.2,0.5,15.0,0.2,42.54945054945055,1.6186813186813187,0.2093406593406593,2023.0
07/23,5574.0,KAMMAGONDANAHALLI LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.2,6.6,632.0,12.0,10.0,3300.0,54000.0,13.835164835164834,148.0,5.0,148.0,56.0,108.0,1.5,1.2,140.0,76.0,64.0,11.0,36.0,428.0,17.978021978021978,4.0,0.5,14.0,0.2,42.505494505494504,1.6131868131868132,0.2065934065934065,2023.0
07/23,5574.0,HOSKERE LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.4,7.0,846.0,13.0,2.4,4600.0,92000.0,14.153846153846152,240.0,5.0,240.0,132.0,125.0,1.5,1.9,228.0,120.0,108.0,13.0,83.0,578.0,18.153846153846153,0.35,0.5,11.0,0.31,42.46153846153846,1.6076923076923078,0.2038461538461538,2023.0
07/23,5574.0,SINGASANDRA LAKE,"D (Propagation of wild life,fisheries)",4.4,7.0,981.0,7.0,4.0,46000.0,540000.0,14.47252747252747,88.0,5.0,88.0,124.0,76.0,1.5,0.9,244.0,128.0,116.0,5.0,92.0,686.0,18.32967032967033,0.2,0.5,22.0,0.3,42.417582417582416,1.6021978021978025,0.201098901098901,2023.0
07/23,5574.0,IBBALUR LAKE,"E (Irrigation, industrial cooling and controlled waste)",0.3,7.0,1056.0,45.0,4.0,31000.0,350000.0,14.79120879120879,68.0,5.0,68.0,188.0,236.0,1.5,15.2,184.0,96.0,88.0,7.0,118.0,10.0,18.505494505494507,0.2,0.5,27.0,0.3,42.37362637362637,1.5967032967032968,0.1983516483516483,2023.0
07/23,5574.0,"Basavanapura Lake Ayyappa Nagr Main Road ,
K. R. Puram , Bengaluru","D (Propagation of wild life,fisheries)",5.5,7.3,373.0,6.0,1.5,7900.0,92000.0,15.10989010989011,116.0,5.0,116.0,48.0,50.0,1.5,0.98,100.0,56.0,44.0,10.0,54.0,250.0,18.68131868131868,1.0,0.5,17.0,0.36,42.32967032967033,1.591208791208791,0.1956043956043955,2023.0
07/23,5574.0,BELLANDUR LAKE,"E (Irrigation, industrial cooling and controlled waste)",0.3,7.0,1382.0,202.0,5.0,2600000.0,35000000.0,15.428571428571429,132.0,5.0,132.0,176.0,788.0,1.5,28.0,328.0,168.0,160.0,6.0,106.0,966.0,18.857142857142858,0.2,0.5,30.0,0.3,42.285714285714285,1.585714285714286,0.1928571428571428,2023.0
07/23,5574.0,Kannur Lake Near By Hennur Road Bengalore,"D (Propagation of wild life,fisheries)",4.8,7.3,740.0,7.0,3.2,4800.0,54000.0,15.747252747252746,200.0,5.0,200.0,116.0,64.0,1.5,0.95,296.0,152.0,144.0,8.0,96.0,508.0,19.032967032967033,1.0,0.5,21.0,0.4,42.24175824175824,1.5802197802197802,0.1901098901098901,2023.0
07/23,5574.0,YELEMALLAPPA SHETTY LAKE,"E (Irrigation, industrial cooling and controlled waste)",0.3,6.7,1220.0,34.0,5.5,47000.0,540000.0,16.065934065934066,464.0,5.0,464.0,168.0,224.0,1.5,4.0,300.0,156.0,144.0,20.0,164.0,832.0,19.208791208791208,3.8,0.5,28.0,0.48,42.1978021978022,1.574725274725275,0.1873626373626373,2023.0
07/23,5574.0,VIBHUTHIPURA LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.1,6.9,743.0,12.0,2.85,2600.0,54000.0,16.384615384615383,168.0,5.0,168.0,120.0,110.0,1.5,2.0,200.0,104.0,96.0,30.0,69.0,520.0,19.384615384615387,0.29,0.5,15.0,0.38,42.15384615384615,1.5692307692307692,0.1846153846153846,2023.0
07/23,5574.0,BHATTARAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.2,8.2,580.0,9.0,2.6,8400.0,160000.0,16.7032967032967,108.0,5.0,108.0,144.0,84.0,1.5,0.96,96.0,52.0,44.0,15.0,88.0,396.0,19.56043956043956,0.9,0.5,17.0,0.24,42.10989010989011,1.5637362637362635,0.1818681318681318,2023.0
07/23,5574.0,DODDABIDARAKALLU LAKE,"E (Irrigation, industrial cooling and controlled waste)",0.3,6.7,1480.0,83.0,5.69,170000.0,2400000.0,17.021978021978022,340.0,5.0,340.0,252.0,320.0,1.5,14.2,404.0,208.0,196.0,60.0,125.0,1042.0,19.736263736263737,0.83,0.5,30.0,0.41,42.065934065934066,1.5582417582417585,0.1791208791208791,2023.0
07/23,5574.0,ANCHEPALYA LAKE,"D (Propagation of wild life,fisheries)",4.5,6.5,497.0,4.0,1.91,3300.0,54000.0,17.34065934065934,108.0,5.0,108.0,80.0,40.0,1.5,0.88,132.0,72.0,60.0,20.0,47.0,346.0,19.912087912087912,0.25,0.5,10.0,0.2,42.02197802197802,1.5527472527472528,0.1763736263736263,2023.0
07/23,5574.0,VARTHUR LAKE,"E (Irrigation, industrial cooling and controlled waste)",0.3,7.3,1380.0,73.0,5.3,1700000.0,24000000.0,17.659340659340657,316.0,5.0,316.0,232.0,328.0,1.5,17.8,352.0,180.0,172.0,56.0,120.0,972.0,20.087912087912088,0.87,0.5,28.0,0.42,41.97802197802198,1.5472527472527473,0.1736263736263736,2023.0
07/23,5574.0,KAIKONDANAHALLI LAKE,"D (Propagation of wild life,fisheries)",6.7,7.5,364.0,4.0,1.39,4800.0,54000.0,17.978021978021978,76.0,5.0,76.0,56.0,40.0,1.5,0.4,96.0,52.0,44.0,15.0,29.0,252.0,20.263736263736263,0.2,0.5,7.0,0.2,41.934065934065934,1.5417582417582418,0.1708791208791208,2023.0
07/23,5574.0,SHEELAVANTA-WHITEFIELD LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.0,7.0,978.0,13.0,3.76,4000.0,92000.0,18.296703296703296,224.0,5.0,224.0,164.0,116.0,1.5,2.2,264.0,136.0,128.0,39.0,88.0,682.0,20.43956043956044,0.45,0.5,20.0,0.29,41.89010989010989,1.5362637362637364,0.1681318681318681,2023.0
07/23,5574.0,"Soulkere, Kaikondrahalli Vill,Bengaluru","D (Propagation of wild life,fisheries)",5.6,7.3,647.0,4.0,2.48,2200.0,35000.0,18.615384615384613,144.0,5.0,144.0,108.0,44.0,1.5,0.41,176.0,92.0,84.0,26.0,62.0,454.0,20.615384615384617,0.2,0.5,13.0,0.28,41.84615384615385,1.5307692307692309,0.1653846153846153,2023.0
07/23,5574.0,ALUR LAKE,"D (Propagation of wild life,fisheries)",6.1,6.8,213.0,4.0,1.0,3100.0,160000.0,18.934065934065934,36.0,5.0,36.0,28.0,40.0,1.5,0.4,48.0,28.0,20.0,8.0,16.0,148.0,20.791208791208792,0.2,0.5,4.0,0.2,41.8021978021978,1.5252747252747252,0.1626373626373626,2023.0
07/23,5574.0,DODDAKANNEHALLI LAKE,"D (Propagation of wild life,fisheries)",4.1,6.6,368.0,11.0,1.1,4600.0,92000.0,19.252747252747252,104.0,5.0,104.0,56.0,111.0,1.5,0.95,96.0,56.0,40.0,6.0,38.0,254.0,20.967032967032967,0.2,0.5,5.0,0.21,41.75824175824176,1.5197802197802197,0.1598901098901098,2023.0
07/23,5574.0,HESARAGHATTA LAKE,"D (Propagation of wild life,fisheries)",5.2,6.9,340.0,4.0,1.33,470.0,16000.0,19.57142857142857,76.0,5.0,76.0,56.0,43.0,1.5,0.44,92.0,52.0,40.0,14.0,38.0,238.0,21.142857142857142,0.2,0.5,7.0,0.2,41.714285714285715,1.5142857142857142,0.1571428571428571,2023.0
07/23,5574.0,DEVARABEESANAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.3,7.4,645.0,11.0,1.9,470.0,16000.0,19.89010989010989,184.0,5.0,184.0,100.0,107.0,1.5,0.93,172.0,92.0,80.0,10.0,81.0,440.0,21.31868131868132,0.23,0.5,15.0,0.35,41.67032967032967,1.5087912087912088,0.1543956043956043,2023.0
07/23,5574.0,CHIKKABANAVARA LAKE,"E (Irrigation, industrial cooling and controlled waste)",2.7,7.0,1700.0,13.0,6.68,4100.0,92000.0,20.208791208791208,392.0,5.0,392.0,288.0,121.0,1.5,3.2,464.0,236.0,228.0,69.0,140.0,1192.0,21.494505494505496,1.24,0.5,34.0,0.33,41.62637362637363,1.5032967032967033,0.1516483516483516,2023.0
07/23,5574.0,KASAVANAHALLI LAKE,"D (Propagation of wild life,fisheries)",6.5,6.6,373.0,4.0,1.43,23000.0,240000.0,20.52747252747253,80.0,5.0,80.0,64.0,40.0,1.5,0.56,100.0,56.0,44.0,15.0,32.0,262.0,21.67032967032967,0.2,0.5,7.0,0.22,41.582417582417584,1.4978021978021978,0.1489010989010988,2023.0
07/23,5574.0,HARALUR LAKE,"D (Propagation of wild life,fisheries)",5.4,7.3,646.0,4.0,2.44,490.0,9200.0,20.846153846153847,140.0,5.0,140.0,104.0,45.0,1.5,0.58,176.0,96.0,80.0,27.0,61.0,452.0,21.846153846153847,0.2,0.5,13.0,0.31,41.53846153846154,1.4923076923076923,0.1461538461538461,2023.0
07/23,5574.0,"Kudlu Doddakere, Kudlu Vill,Bengaluru","D (Propagation of wild life,fisheries)",5.5,7.4,647.0,4.0,2.48,4300.0,160000.0,21.164835164835164,148.0,5.0,148.0,108.0,45.0,1.5,0.57,180.0,96.0,84.0,28.0,62.0,456.0,22.021978021978025,0.2,0.5,13.0,0.33,41.494505494505496,1.4868131868131869,0.1434065934065934,2023.0
07/23,5574.0,AGARAM LAKE,"D (Propagation of wild life,fisheries)",6.3,6.7,372.0,4.0,1.45,4900.0,92000.0,21.48351648351648,84.0,5.0,84.0,60.0,42.0,1.5,0.4,104.0,56.0,48.0,16.0,31.0,260.0,22.197802197802197,0.2,0.5,7.0,0.24,41.45054945054945,1.4813186813186814,0.1406593406593406,2023.0
07/23,5574.0,SOMASUNDRAPALYA LAKE,"D (Propagation of wild life,fisheries)",6.4,6.6,371.0,4.0,1.42,4800.0,54000.0,21.8021978021978,80.0,5.0,80.0,56.0,41.0,1.5,0.4,100.0,52.0,48.0,15.0,31.0,258.0,22.373626373626372,0.2,0.5,7.0,0.26,41.40659340659341,1.475824175824176,0.1379120879120879,2023.0
07/23,5574.0,PARAPPANA AGRAHARA LAKE,"D (Propagation of wild life,fisheries)",5.3,7.4,646.0,4.0,2.53,430.0,16000.0,22.12087912087912,140.0,5.0,140.0,100.0,45.0,1.5,0.49,176.0,96.0,80.0,27.0,62.0,454.0,22.54945054945055,0.2,0.5,13.0,0.32,41.362637362637365,1.4703296703296704,0.1351648351648351,2023.0
07/23,5574.0,MANGAMANAPALYA LAKE(SWARANA KUNTE,"D (Propagation of wild life,fisheries)",6.2,6.6,371.0,4.0,1.44,4000.0,35000.0,22.43956043956044,84.0,5.0,84.0,64.0,43.0,1.5,0.4,104.0,56.0,48.0,15.0,64.0,256.0,22.725274725274726,0.2,0.5,7.0,0.26,41.31868131868132,1.464835164835165,0.1324175824175824,2023.0
07/23,5574.0,"Anjanapura Lake ( Avala Halli Lake) Anjanapura,Beng","D (Propagation of wild life,fisheries)",6.1,6.7,370.0,4.0,1.42,630.0,9200.0,22.758241758241756,80.0,5.0,80.0,60.0,42.0,1.5,0.4,100.0,52.0,48.0,16.0,31.0,254.0,22.9010989010989,0.2,0.5,7.0,0.25,41.27472527472528,1.4593406593406597,0.1296703296703296,2023.0
07/23,5574.0,SARAKKI LAKE,"D (Propagation of wild life,fisheries)",4.9,7.5,740.0,4.0,2.84,460.0,16000.0,23.076923076923077,164.0,5.0,164.0,124.0,44.0,1.5,0.59,200.0,104.0,96.0,30.0,69.0,516.0,23.07692307692308,0.2,0.5,15.0,0.25,41.23076923076923,1.4538461538461538,0.1269230769230769,2023.0
07/23,5574.0,YELACHENAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.7,8.5,284.0,4.0,1.1,4300.0,54000.0,23.39560439560439,72.0,5.0,72.0,44.0,46.0,1.5,0.72,64.0,36.0,28.0,12.0,25.0,198.0,23.252747252747255,0.2,0.5,6.0,0.2,41.18681318681319,1.4483516483516483,0.1241758241758241,2023.0
07/23,5574.0,CHINNAKURCHI KERE,"D (Propagation of wild life,fisheries)",5.8,8.2,1401.0,7.0,4.3,4300.0,54000.0,23.71428571428571,476.0,5.0,476.0,308.0,65.0,1.5,0.68,264.0,136.0,128.0,31.0,129.0,950.0,23.42857142857143,0.25,0.5,39.0,0.43,41.142857142857146,1.4428571428571428,0.1214285714285714,2023.0
07/23,5574.0,VENGAIYYANAKERE( KR PURAM LAKE ),"E (Irrigation, industrial cooling and controlled waste)",2.9,7.2,1404.0,58.0,5.0,46000.0,350000.0,24.032967032967033,312.0,5.0,312.0,152.0,220.0,1.5,1.3,252.0,132.0,120.0,31.0,42.0,938.0,23.60439560439561,1.0,0.5,30.0,0.29,41.098901098901095,1.4373626373626374,0.1186813186813186,2023.0
07/23,5574.0,DHOREKERE TANK,"E (Irrigation, industrial cooling and controlled waste)",3.0,7.4,446.0,20.0,1.3,1700.0,24000.0,24.35164835164835,124.0,5.0,124.0,68.0,199.0,1.5,3.6,116.0,64.0,52.0,7.0,45.0,306.0,23.78021978021978,0.2,0.5,6.0,0.2,41.05494505494505,1.431868131868132,0.1159340659340659,2023.0
07/23,5574.0,SHIVAPURA TANK,"E (Irrigation, industrial cooling and controlled waste)",0.3,6.7,1954.0,78.0,31.0,1300000.0,3500000.0,24.670329670329668,416.0,5.0,416.0,508.0,254.0,1.5,5.2,496.0,252.0,244.0,74.0,201.0,1330.0,23.956043956043956,8.0,0.5,24.0,0.5,41.01098901098901,1.4263736263736264,0.1131868131868131,2023.0
07/23,5574.0,MADHURE TANK,"D (Propagation of wild life,fisheries)",4.1,7.3,1127.0,10.0,20.0,2600.0,35000.0,24.98901098901099,196.0,5.0,196.0,216.0,88.0,1.5,0.82,252.0,132.0,120.0,17.0,98.0,764.0,24.13186813186813,0.24,0.5,27.0,0.35,40.96703296703296,1.420879120879121,0.1104395604395604,2023.0
07/23,5574.0,TUBARAHALLI TANK,"D (Propagation of wild life,fisheries)",4.3,7.0,639.0,4.3,2.0,4000.0,35000.0,25.307692307692307,100.0,5.0,100.0,128.0,80.0,1.5,0.4,152.0,80.0,72.0,6.0,84.0,440.0,24.307692307692307,0.2,0.5,11.0,0.2,40.92307692307692,1.4153846153846157,0.1076923076923076,2023.0
