Sl.No,STN Code,Sampling Month,Name Of Monitoring Location,Use Based Class,"Temperature
0C",Dissolved O2 (mg/L),pH,Conductivity (&micro;mh o/cm),"BOD
(mg/L)",NitrateN (mg/L),NitriteN (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Fecal Streptococci (MPN/100ml),"Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity (NTU),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Total Kjeldahl Nitrogen (mg/L),Ammonical N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Ca (mg/L),Mg as CaCo3 (mg/L),Mg (mg/L),Sulphate (mg/L),Sodium (mg/L),Total Dissolved Solids (mg/L),Total Suspended Solids (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
107,5564,Feb,"Kan-mangala Lake Hoskote Main Road , Bengalore","D (Propagation of wild life,fisheries)",25.0,6.4,6.6,1762,7,6.7,0.02(BDL),250,4300,-,3(BDL),340,6.8,5(BDL),340,456,88,1.82,1.4,248,128,51,120,29.2,30,188,1196,10(BDL),0.2(BDL),0.5(BDL),9,0.33,49,5.4,0.62,2025
108,5565,Feb,Kannur Lake Near By Hennur Road Bengalore,"E (Irrigation, industrial cooling and controlled waste)",26.0,2.9,8.5,1892,22,7.26,0.02(BDL),680,17000,-,40,304,123.2,20,324,416,178,10.8,8.32,196,104,42,92,22.4,12,265,1306,132,0.2(BDL),0.5(BDL),59,0.33,59,8.0,0.17,2025
109,5566,Feb,"Basava-pura Lake Ayyappa -gr Main Road , K. R. Puram , Bengaluru","D (Propagation of wild life,fisheries)",27.0,6.9,8.3,562,4,2.1,0.02(BDL),130,2400,-,16,120,4,8,128,64,39,1.5(BDL),0.79,64,36,14,28,6.8,18,56,382,10(BDL),0.2(BDL),0.5(BDL),14,0.22,60,3.0,0.05(BDL),2025
110,5567,Feb,"Doddakallasandra Lake,Bengaluru","D (Propagation of wild life,fisheries)",27.0,5.8,7.7,862,10,3.3,0.02(BDL),480,3500,-,3(BDL),200,7.6,5(BDL),200,112,114,2.73,2.1,168,84,34,84,20.4,6.6,83,594,10(BDL),0.41,0.5(BDL),21,0.2(BDL),48,2.8,1,2025
111,5568,Feb,"Ulsoor Lake Near Kalyani,Bengaluru","D (Propagation of wild life,fisheries)",28.0,5.8,8.3,441,12,7.49,0.02(BDL),680,4300,-,8,72,67.2,5(BDL),76,48,130,1.5(BDL),0.4,72,44,18,28,6.8,11,46,300,84,0.2(BDL),0.5(BDL),13,0.2(BDL),52,2.4,0.1,2025
112,5569,Feb,"Byrasandra Upper Lake,Bengaluru","D (Propagation of wild life,fisheries)",29.0,6.0,6.9,1117,9,4.3,0.02(BDL),1200,7000,-,3(BDL),216,8.9,5(BDL),216,68,81,1.5(BDL),0.4,380,196,78,184,44.7,192,71,760,10(BDL),0.2(BDL),0.5(BDL),20,0.2(BDL),27,1.5,0.4,2025
113,5570,Feb,"Soulkere, Kaikondrahalli Vill,Bengaluru","D (Propagation of wild life,fisheries)",28.0,4.4,8.0,1439,8,5.0,0.72,210,4300,-,3(BDL),224,9.5,5(BDL),224,340,88,1.5(BDL),0.86,308,160,64,148,36.0,57,198,960,12,0.53,0.5(BDL),25,0.29,56,5.0,1.4,2025
114,5571,Feb,"Kudlu Doddakere, Kudlu Vill,Bengaluru","D (Propagation of wild life,fisheries)",28.0,5.8,7.5,850,5,3.0,0.02(BDL),2000,9400,-,3(BDL),116,15.6,5(BDL),116,132,64,1.5(BDL),0.4,136,76,30,60,14.6,36,89,568,20,0.2(BDL),0.5(BDL),19,0.3,55,3.0,0.05(BDL),2025
115,5572,Feb,"Kudlu Chikkakere, Bgp Layout Kudlu Vill ,Bengaluru","D (Propagation of wild life,fisheries)",28.0,5.2,7.5,848,7,3.0,0.02(BDL),310,3500,-,3(BDL),124,12.5,5(BDL),124,128,68,1.5(BDL),0.4,132,72,29,60,14.6,34,87,564,16,0.2(BDL),0.5(BDL),19,0.25,54,3.0,0.44,2025
116,5573,Feb,"Doddathogur Lake , Doddathoguru Vill,Bengaluru","D (Propagation of wild life,fisheries)",25.0,5.4,6.8,1171,6,4.5,0.02(BDL),170,3500,-,3(BDL),288,70,5(BDL),288,196,68,1.5(BDL),0.4,256,132,53,124,30.1,12,120,798,90,2.2,0.5(BDL),7,0.21,49,3.2,5,2025
117,5574,Feb,"Anja-pura Lake ( Avala Halli Lake) Anja-pura,Bengaluru","D (Propagation of wild life,fisheries)",28.0,6.0,7.5,651,5,2.5,0.02(BDL),140,1100,-,3(BDL),120,250,5(BDL),120,84,71,1.5(BDL),0.4,100,68,27,32,7.8,11,81,440,326,0.2(BDL),0.5(BDL),15,0.2(BDL),60,3.52,0.05(BDL),2025
