"STN
Code",Name Of Monitoring Location,Use Based Class,Temperature,Dissolved O2 (mg/L),pH,Conductivity (&micro; mho/cm),"BOD
(mg/L)",NitrateN (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Fecal Streptococci (MPN/100ml),"Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity (mg/L),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Total Kjeldahl Nitrogen (mg/L),Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Mg as CaCo3 (mg/L),Sulphate (mg/L),Sodium (mg/L),Total Dissolved Solids (mg/L),Total Suspended Solids (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
4533,Ullalu Lake,"E (Irrigation, industrial cooling and controlled waste)",29.4,0.3(BDL),6.5,307,23.0,1.0,14000.0,48000.0,,3(BDL),88,68.7,5(BDL),88,16,190,11.6,8.9,80,48,32,5(BDL),31,212,90,1.9,0.5(BDL),4,0.2(BDL),44,1.5,5.2,2024
4534,Sompura Lake,"E (Irrigation, industrial cooling and controlled waste)",34.0,0.3(BDL),9.7,2046,29.0,10.0,2100.0,9400.0,,400,504,35.7,200,704,316,192,8.8,6.7,176,92,84,100,291,1394,46,1.1,0.5(BDL),30,1.14,75,9.6,3.3,2024
4536,Hosakerehalli Lake,"E (Irrigation, industrial cooling and controlled waste)",34.5,1.7,7.8,1342,10.0,3.9,1100.0,4600.0,,3(BDL),240,14,5(BDL),240,436,97,2.9,2.2,188,100,88,29,116,918,18,0.2(BDL),0.5(BDL),28,0.5,53,3.7,0.05(BDL),2024
4537,Chinnakurchi Kere,"E (Irrigation, industrial cooling and controlled waste)",38.0,0.3(BDL),8.7,4170,96.0,14.8,45000.0,230000.0,,200,1016,34.4,100,1216,416,315,16.8,12.9,268,140,128,35,400,2800,44,0.64,0.5(BDL),10,2.2,76,10.7,1.8,2024
4538,Machohalli Lake,"E (Irrigation, industrial cooling and controlled waste)",28.0,1.7,7.0,1925,18.0,6.8,410.0,5400.0,,3(BDL),196,28.4,5(BDL),196,436,124,7.8,6,444,228,216,14,198,1312,36,0.2(BDL),0.5(BDL),32,0.3,47,3.8,0.05(BDL),2024
4539,Doddabidarakallu Lake,"E (Irrigation, industrial cooling and controlled waste)",29.0,0.3(BDL),6.7,2042,80.0,7.8,17000.0,48000.0,,3(BDL),476,18.4,5(BDL),476,348,325,36,30,560,284,276,83,173,1376,22,0.89,0.5(BDL),41,0.52,38,3.2,2.45,2024
4540,Kammagondanahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",29.0,3.1,6.6,744,24.0,2.9,2100.0,14000.0,,3(BDL),172,14.1,5(BDL),172,124,171,7.8,6.2,200,104,96,30,68,492,16,0.28,0.5(BDL),15,0.25,40,2.09,0.76,2024
4541,Alur Lake,"D (Propagation of wild life,fisheries)",29.0,4.6,6.6,216,4.0,0.8,3200.0,9400.0,,3(BDL),44,99,5(BDL),44,36,44,1.5(BDL),0.8,56,32,24,9,20,144,112,0.2(BDL),0.5(BDL),4,0.39,41,1.4,0.05(BDL),2024
4544,Kothanuru Lake,"E (Irrigation, industrial cooling and controlled waste)",29.0,2,7.8,988,28.0,7.1,2200.0,11000.0,,3(BDL),164,38,5(BDL),164,360,190,12.1,9.8,188,100,88,59,212,878,50,0.3,0.5(BDL),34,0.35,67,0.21,0.6,2024
4546,Jakksandra Lake (Kasavanahalli Lake ),"D (Propagation of wild life,fisheries)",29.0,4.2,7.3,1212,13.0,4.1,140.0,1700.0,,3(BDL),108,32,5(BDL),108,236,128,1.5(BDL),0.9,172,92,80,19,118,822,42,0.86,0.5(BDL),6,0.47,58,3.9,2.3,2024
4547,Mangamanapalya Lake(Swarana Kunte),"D (Propagation of wild life,fisheries)",30.0,4.6,7.7,530,6.0,1.8,330.0,2800.0,,3(BDL),132,10.4,5(BDL),132,48,76,1.5(BDL),0.4,120,68,52,18,56,356,14,0.21,0.5(BDL),17,0.26,46,2.0,0.53,2024
5558,"Kannahalli Lake Kannahalli, Bengaluru","E (Irrigation, industrial cooling and controlled waste)",28.0,2.7,6.5,1331,16.0,5.4,130.0,2400.0,,3(BDL),260,10.2,5(BDL),260,180,140,5.7,4.4,336,172,164,11,103,890,12,0.88,0.5(BDL),9,0.2(BDL),39,2.0,2.25,2024
5559,"Shettihalli Lake, Mallasandra Gudde Lake Bengaluru","E (Irrigation, industrial cooling and controlled waste)",28.0,3.3,6.5,1133,21.0,4.3,260.0,3500.0,,3(BDL),264,19.6,5(BDL),264,188,165,2.5,2,308,160,148,46,104,756,24,1.26,0.5(BDL),23,0.41,40,2.6,3.6,2024
5560,"Hoodi (Rajapalya Lake) Itpl Main Road, Near Hoodi,Bengaluru","E (Irrigation, industrial cooling and controlled waste)",24.0,2.2,7.3,2393,52.0,8.3,2600.0,11000.0,,3(BDL),320,39.6,5(BDL),320,488,252,1.8,1.3,488,252,236,12,282,1578,52,1.4,0.5(BDL),58,0.2(BDL),46,6.0,3.3,2024
5561,"Munekolalu Lake ,Marathahalli, East Taluka ,Bengaluru","E (Irrigation, industrial cooling and controlled waste)",26.0,1.3,6.6,655,9.0,2.6,1100.0,7900.0,,3(BDL),152,20,5(BDL),152,112,104,1.5(BDL),0.8,192,128,64,29,74,426,18,0.57,0.5(BDL),7,0.21,45,2.3,1.4,2024
5562,"Mahadevpuraâ  Lake, K. R. Puram , Bangalore East Taluka","E (Irrigation, industrial cooling and controlled waste)",25.0,3.4,8.7,768,29.0,2.67,210.0,2200.0,,24,84,64,12,108,132,180,2.78,2.1,128,72,56,13,99,518,86,0.2(BDL),0.5(BDL),24,0.23,57,4.0,0.05(BDL),2024
5563,"Segehalli Lake Baavanapura Road Battarahalli , Bangalore East","E (Irrigation, industrial cooling and controlled waste)",27.0,1.6,6.9,1228,32.0,4.7,170.0,3500.0,,3(BDL),284,20.8,5(BDL),284,204,200,11.8,10,332,168,164,50,110,810,26,1.5,0.5(BDL),25,0.2(BDL),40,2.6,4.4,2024
5564,"Kannamangala Lake Hoskote Main Road , Bengalore","E (Irrigation, industrial cooling and controlled waste)",23.0,3.2,7.6,2321,16.0,8.9,,,,3(BDL),540,10.3,5(BDL),540,392,154,4.4,3.7,636,324,312,94,186,1578,14,0.56,0.5(BDL),46,0.39,37,3.2,1.6,2024
5565,Kannur Lake Near By Hennur Road Bengalore,"D (Propagation of wild life,fisheries)",24.0,4.2,7.2,1109,12.0,3.7,3900.0,22000.0,,3(BDL),312,33,5(BDL),312,228,122,1.5(BDL),0.98,300,156,144,17,108,772,42,0.2(BDL),0.5(BDL),14,0.31,42,2.7,0.05(BDL),2024
5566,"Basavanapura Lake Ayyappa Nagr Main Road ,
K. R. Puram , Bengaluru","E (Irrigation, industrial cooling and controlled waste)",25.0,3,6.5,614,20.0,2.3,32.0,350.0,,3(BDL),140,8.4,5(BDL),140,100,164,5.6,4.8,164,92,72,25,58,406,12,0.59,0.5(BDL),12,0.32,41,2.0,1.69,2024
5568,"Ulsoor Lake Near Kalyani,Bengaluru","D (Propagation of wild life,fisheries)",35.0,5.4,7.4,483,7.2,2.0,1400.0,7900.0,,3(BDL),96,38.9,5(BDL),96,64,62,1.5(BDL),0.78,88,48,40,7,65,330,50,0.3,0.5(BDL),15,0.2(BDL),57,0.32,0.7,2024
5569,"Byrasandra Upper Lake,Bengaluru","D (Propagation of wild life,fisheries)",35.0,5.2,7.4,491,7.9,2.0,2400.0,4800.0,,3(BDL),96,48.4,5(BDL),96,64,70,1.5(BDL),0.72,96,52,44,6,67,334,62,0.2(BDL),0.5(BDL),18,0.2(BDL),55,0.31,0.05(BDL),2024
5570,"Soulkere, Kaikondrahalli Vill,Bengaluru","D (Propagation of wild life,fisheries)",28.0,4.2,8.1,1305,12.0,4.4,240.0,1700.0,,3(BDL),132,11,5(BDL),132,264,120,1.5(BDL),0.99,168,92,76,20,127,886,,0.9,0.5(BDL),16,0.5,59,4.3,2.3,2024
5571,"Kudlu Doddakere, Kudlu Vill,Bengaluru","D (Propagation of wild life,fisheries)",29.0,4.1,8.5,1297,13.0,4.4,1100.0,4600.0,,8,80,170,5(BDL),88,248,130,1.5(BDL),0.99,152,84,68,20,126,880,134,0.83,0.5(BDL),16,0.51,61,4.4,2.3,2024
5572,"Kudlu Chikkakere, Bgp Layout Kudlu Vill ,Bengaluru","D (Propagation of wild life,fisheries)",29.0,4.1,8.5,1304,13.0,4.4,140.0,2200.0,,8,76,160,5(BDL),84,244,133,1.5(BDL),0.99,160,88,72,20,126,884,126,0.85,0.5(BDL),16,0.51,60,4.3,2.3,2024
5574,"Anjanapura Lake ( Avala Halli Lake) Anjanapura,Bengaluru","D (Propagation of wild life,fisheries)",29.0,4.4,7.4,508,9.0,2.0,17.0,350.0,,3(BDL),104,4.3,5(BDL),104,76,80,1.5(BDL),0.69,96,52,44,8,66,348,10(BDL),0.2(BDL),0.5(BDL),16,0.2(BDL),55,0.3,0.4,2024
