"Sl.
No.","STN
Code",Name Of Monitoring Location,Use Based Class,Dissolved O2 (mg/L),pH,"Conductivity (&micro;mho
/cm)","BOD
(mg/L)",NitrateN (mg/L),NitriteN (mg/L),"Fecal Coliform (MPN/10
0ml)","Total Coliform (MPN/100
ml)",Fecal Streptococci (MPN/100ml),"Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity (mg/L),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Total Kjeldahl Nitrogen (mg/L),Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Ca as Ca (mg/L),Mg as CaCo3 (mg/L),Mg as Ca (mg/L),Sulphate (mg/L),Sodium (mg/L),Total Dissolved Solids (mg/L),Total Suspended Solids (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
92,4541.0,Alur Lake,"D (Propagation of wild
life,fisheries)",4.6,6.5,267.0,8.0,1,0.02(BDL),3200.0,14000.0,,3(BDL),88.0,28.3,5(BDL),88.0,24.0,76.0,1.5(BDL),0.8,96.0,52.0,20.8,44.0,10.7,16,26.0,182.0,36,0.2(BDL),0.5(BDL),14.0,0.2(BDL),33.0,1.6,0.05(BDL),2024
93,4542.0,Basavanapura Lake,"D (Propagation of wild
life,fisheries)",4.4,8.1,807.0,5.0,3.1,0.1,2100.0,11000.0,,3(BDL),216.0,9.6,5(BDL),216.0,132.0,49.0,1.5(BDL),0.62,180.0,96.0,38.4,84.0,20.4,32,79.0,542.0,12,0.25,0.5(BDL),16.0,0.44,46.0,2.6,0.73,2024
94,4543.0,Kodi Singasandra Lake,"D (Propagation of wild
life,fisheries)",4.6,6.8,480.0,7.0,1.9,0.02(BDL),2100.0,11000.0,,3(BDL),112.0,12.3,5(BDL),112.0,72.0,68.0,1.5(BDL),0.58,104.0,56.0,22.4,48.0,11.7,14,38.0,322.0,16,0.34,0.5(BDL),3.0,0.26,43.0,2.0,0.89,2024
95,4544.0,Kothanuru Lake,"D (Propagation of wild
life,fisheries)",6.5,7.5,419.0,4.0,1.6,0.02(BDL),310.0,3500.0,,3(BDL),96.0,5.6,5(BDL),96.0,68.0,41.0,1.5(BDL),0.42,112.0,60.0,24.0,52.0,12.6,18,40.0,282.0,10(BDL),0.2(BDL),0.5(BDL),10.0,0.2(BDL),41.0,2.0,0.05(BDL),2024
96,4547.0,"Mangamanapalya Lake(Swarana
Kunte)","D (Propagation of wild
life,fisheries)",5.5,7.9,804.0,6.0,3.2,0.02(BDL),11000.0,46000.0,,3(BDL),216.0,12.3,5(BDL),216.0,132.0,56.0,1.5(BDL),0.4,196.0,104.0,41.6,92.0,22.4,17,68.0,540.0,16,1.3,0.5(BDL),5.0,0.26,42.0,2.0,3.36,2024
97,5558.0,"Kannahalli Lake Kannahalli, Bengaluru","E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),6.7,1420.0,23.0,4.8,0.02(BDL),2400.0,4800.0,,3(BDL),396.0,32.0,5(BDL),396.0,288.0,156.0,14,11.0,476.0,244.0,97.6,232.0,56.4,21,139.0,966.0,42,3,0.5(BDL),32.0,0.29,37.0,2.8,5,2024
98,5559.0,"Shettihalli Lake, Mallasandra Gudde Lake Bengaluru","E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),6.6,811.0,70.0,0.6,0.7,2100.0,24000.0,,3(BDL),276.0,40.0,5(BDL),276.0,116.0,232.0,4.2,3.2,296.0,152.0,60.8,144.0,35.0,5(BDL),90.0,552.0,52,1,0.5(BDL),26.0,0.24,37.0,2.2,1.8,2024
99,5560.0,"Hoodi (Rajapalya Lake) Itpl Main Road, Near Hoodi,Bengaluru","E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),7.1,1697.0,21.0,6.84,0.31,24000.0,48000.0,,3(BDL),268.0,5.2,5(BDL),268.0,404.0,160.0,14.3,11.0,392.0,200.0,80.0,192.0,46.7,17,142.0,1136.0,10(BDL),1.57,0.5(BDL),12.0,0.38,43.0,3.13,4.83,2024
100,5561.0,"Munekolalu Lake ,Marathahalli, East
Taluka ,Bengaluru","D (Propagation of wild
life,fisheries)",4.3,8.3,655.0,7.0,2.23,0.02(BDL),630.0,5400.0,,8,144.0,11.6,5(BDL),148.0,92.0,64.0,1.5(BDL),0.4,156.0,84.0,33.6,72.0,17.5,12,42.0,438.0,14,1,0.5(BDL),4.0,0.28,36.0,1.46,3.09,2024
101,5562.0,"Mahadevpuraâ  Lake, K. R. Puram ,
Bangalore East Taluka","D (Propagation of wild
life,fisheries)",4.3,8.5,574.0,9.0,2.03,0.02(BDL),470.0,5400.0,,16,124.0,14.0,8,140.0,100.0,92.0,1.5(BDL),0.84,176.0,88.0,35.2,88.0,21.4,7,62.0,392.0,18,0.5,0.5(BDL),15.0,0.2(BDL),41.0,2.0,1.1,2024
102,5563.0,"Segehalli Lake Baavanapura Road Battarahalli , Bangalore East","E (Irrigation, industrial cooling and controlled waste)",0.8,6.5,909.0,41.0,3.1,0.02(BDL),2600.0,22000.0,,3(BDL),324.0,74.4,5(BDL),324.0,88.0,204.0,29,20.0,204.0,108.0,43.2,96.0,23.3,22,85.0,596.0,98,1.9,0.5(BDL),23.0,0.22,44.0,3.0,5.3,2024
103,5564.0,"Kannamangala Lake Hoskote Main
Road , Bengalore","D (Propagation of wild
life,fisheries)",4.4,7.6,1692.0,8.0,5.9,,1700.0,7000.0,,3(BDL),168.0,17.8,5(BDL),168.0,428.0,80.0,1.5(BDL),0.57,328.0,172.0,68.8,156.0,37.9,58,200.0,1112.0,24,0.2(BDL),0.5(BDL),43.0,0.35,53.0,5.0,0.3,2024
104,5565.0,"Kannur Lake Near By Hennur Road
Bengalore","D (Propagation of wild
life,fisheries)",5.7,7.8,925.0,5.0,3.2,0.02(BDL),230.0,5400.0,,3(BDL),132.0,37.8,5(BDL),132.0,212.0,64.0,1.5(BDL),0.4,148.0,80.0,32.0,68.0,16.5,19,150.0,626.0,50,0.2(BDL),0.5(BDL),57.0,0.44,59.0,5.0,0.05(BDL),2024
105,5566.0,"Basavanapura Lake Ayyappa Nagr Main Road , K. R. Puram , Bengaluru","E (Irrigation, industrial cooling and controlled waste)",2.2,7.5,607.0,18.0,2.1,0.28,3200.0,14000.0,,3(BDL),144.0,14.2,5(BDL),144.0,76.0,120.0,3.8,2.7,132.0,72.0,28.8,60.0,14.6,29,88.0,408.0,20,0.44,0.5(BDL),21.0,0.33,54.0,3.0,1.1,2024
106,5568.0,"Ulsoor Lake Near Kalyani,Bengaluru","D (Propagation of wild
life,fisheries)",6.5,8.8,456.0,8.0,1.43,0.02(BDL),310.0,3500.0,,32,60.0,21.8,16,76.0,60.0,76.0,1.5(BDL),0.4,68.0,40.0,16.0,28.0,6.8,12,29.0,304.0,10(BDL),0.2(BDL),0.5(BDL),3.0,0.28,47.0,2.0,0.05(BDL),2024
107,5569.0,"Byrasandra Upper Lake,Bengaluru","D (Propagation of wild
life,fisheries)",4.7,6.8,555.0,9.0,2.2,0.02(BDL),9.2,70.0,,3(BDL),168.0,15.5,5(BDL),168.0,52.0,80.0,1.5(BDL),0.4,216.0,112.0,44.8,104.0,25.3,9,45.0,372.0,20,0.67,0.5(BDL),3.0,0.29,31.0,1.3,1.8,2024
108,5570.0,"Soulkere, Kaikondrahalli Vill,Bengaluru","E (Irrigation, industrial cooling and controlled waste)",1.8,7.8,1366.0,18.0,4.8,0.7,320.0,5400.0,,3(BDL),388.0,66.0,5(BDL),388.0,248.0,118.0,23,18.0,376.0,192.0,76.8,184.0,44.7,33,143.0,928.0,86,0.9,0.5(BDL),33.0,0.22,42.0,3.2,1.8,2024
109,5571.0,"Kudlu Doddakere, Kudlu Vill,Bengaluru","E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),9.8,1104.0,78.0,3.9,0.5,1700.0,9400.0,,48,52.0,4.5,24,76.0,236.0,260.0,3.8,2.9,236.0,124.0,49.6,112.0,27.2,58,120.0,752.0,58,0.5,0.5(BDL),36.0,0.2(BDL),48.0,3.4,1,2024
110,5572.0,"Kudlu Chikkakere, Bgp Layout Kudlu Vill ,Bengaluru","E (Irrigation, industrial cooling and controlled waste)",1.9,8.2,964.0,27.0,3.4,0.1,330.0,9200.0,,3(BDL),172.0,58.0,5(BDL),172.0,116.0,179.0,3.4,2.6,156.0,84.0,33.6,72.0,17.5,95,105.0,656.0,68,0.5,0.5(BDL),32.0,0.2(BDL),36.0,2.4,1,2024
111,5574.0,"Anjanapura Lake ( Avala Halli Lake) Anjanapura,Bengaluru","E (Irrigation, industrial cooling and controlled waste)",1.2,6.7,489.0,40.0,1.9,0.02(BDL),1400.0,4800.0,,3(BDL),112.0,7.8,5(BDL),112.0,80.0,200.0,4.9,4.1,132.0,72.0,28.8,60.0,14.6,20,47.0,334.0,10(BDL),0.96,0.5(BDL),11.0,0.2(BDL),41.0,2.0,2.68,2024
