"Sampling
Month",Name Of Monitoring Location,Use Based Class,Dissolved O2 (mg/L),pH,"Conductivi
ty (&micro; mho/cm)","BOD
(mg/L)",NitrateN (mg/L),"Fecal Coliform (MPN/100ml)",Total Coliform (MPN/100ml),"Carbonate (CO3-
) (mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity (mg/L),"Phenolphthalein Alkalinity (mg/L)",Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Ammonical-N (mg/L),"Total Hardness (mg/L)",Ca as CaCo3 (mg/L),Mg as CaCo3 (mg/L),Sulphate (mg/L),Sodium (mg/L),"Total
Dissolved Solids (mg/L)",Phosphate (mg/L),Iron (mg/L),Potassium (mg/L),Fluoride (mg/L),Year
Jul,KUNDALAHALLI LAKE,"E (Irrigation, industrial cooling and controlled waste)",2.9,7.0,1538,30.0,6,4800,92000,3(BDL),284,5.3,5(BDL),284,272,172,1.8,392,200,192,6,111,1076,0.33,0.5(BDL),18,0.2(BDL),2023
Jul,ALLALASANDRA LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.4,8.0,528,17.0,1.5,33,1600,3(BDL),100,94.8,5(BDL),100,84,165,1.86,92,52,40,11,76,360,0.2(BDL),0.5(BDL),13,0.24,2023
Jul,ULSOOR LAKE TRAINING CENTRE OF FISH BREEDING,"D (Propagation of wild life,fisheries)",4.4,8.0,466,4.0,1,11000,92000,3(BDL),112,33.8,5(BDL),112,68,44,0.4,136,72,64,5(BDL),54,316,0.2(BDL),0.5(BDL),15,0.2(BDL),2023
Jul,ULSOOR LAKE TEMPLE,"D (Propagation of wild life,fisheries)",4,8.0,478,4.0,1,4800,35000,3(BDL),140,18.0,5(BDL),140,60,44,0.42,152,80,72,5(BDL),59,324,0.2(BDL),0.5(BDL),14,0.2(BDL),2023
Jul,"Munekolalu Lake ,Marathahalli, East Taluka ,Bengalur","E (Irrigation, industrial cooling and controlled waste)",3.1,7.0,598,23.0,2,7000,160000,3(BDL),176,35.4,5(BDL),176,112,156,2.9,156,76,80,5(BDL),79,412,2,0.5(BDL),17,0.2(BDL),2023
Jul,CHINNAPPANAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.4,7.0,700,5.0,3,3100,54000,3(BDL),144,10.5,5(BDL),144,128,44,0.9,148,72,76,5(BDL),100,490,0.3,0.5(BDL),15,0.3,2023
Jul,BASAVANAPURA LAKE,"D (Propagation of wild life,fisheries)",5.4,7.3,1048,6.0,4,6300,54000,3(BDL),176,20.1,5(BDL),176,176,76,0.4,184,100,84,43,140,704,0.2(BDL),0.5(BDL),30,0.33,2023
Jul,KOTHANURU LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.2,7.4,1045,16.0,4,8400,92000,3(BDL),176,10.8,5(BDL),176,176,124,0.96,184,100,84,50,144,700,0.2(BDL),0.5(BDL),30,0.35,2023
Jul,GOTTIGERE LAKE,"D (Propagation of wild life,fisheries)",6.1,7.2,586,4.0,2,79000,1600000,3(BDL),132,8.1,5(BDL),132,72,44,0.4,100,56,44,,76,400,0.2(BDL),0.5(BDL),16,0.2(BDL),2023
Jul,KARIHOBANAHALLI LAKE,"E (Irrigation, industrial cooling and controlled waste)",1.1,6.9,1474,24.0,3.2,170000,2400000,3(BDL),432,10.4,5(BDL),432,356,156,8.2,436,224,212,38,101,1002,3.1,0.5(BDL),21,0.39,2023
Jul,"Ulsoor Lake Near Kalyani,Bengaluru","D (Propagation of wild life,fisheries)",4.5,8.0,498,4.0,1,2700,24000,3(BDL),120,25.0,5(BDL),120,64,40,0.62,160,88,72,5(BDL),104,338,0.2(BDL),0.5(BDL),14,0.2(BDL),2023
Jul,NELAMANGALA LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.2,6.5,1789,14.0,6,49000,240000,3(BDL),424,21.4,5(BDL),424,296,100,1.0,544,272,272,18,163,1196,1.5,0.5(BDL),21,0.4,2023
Jul,PUTTENAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.5,7.3,1044,7.0,4,12000,92000,3(BDL),184,12.1,5(BDL),184,172,80,0.48,172,92,80,21,150,698,0.2(BDL),0.5(BDL),30,0.36,2023
Jul,"Byrasandra Upper Lake,Bengaluru","D (Propagation of wild life,fisheries)",4.3,8.0,843,4.0,3,7900,160000,3(BDL),232,2.0,5(BDL),232,104,40,0.4,352,180,172,5(BDL),167,590,0.2(BDL),0.5(BDL),16,0.2(BDL),2023
Jul,RAMPURA LAKE,"E (Irrigation, industrial cooling and controlled waste)",3,6.9,1418,12.0,6,4900,54000,3(BDL),344,11.0,5(BDL),344,216,112,1.2,516,264,252,14,69,964,2,0.5(BDL),32,0.3,2023
Jul,KALENA AGRAHARA LAKE,"D (Propagation of wild life,fisheries)",5,7.0,550,5.0,2,2200,24000,3(BDL),44,5.8,5(BDL),44,92,48,0.5,184,96,88,5(BDL),73,378,0.2(BDL),0.5(BDL),17,0.2(BDL),2023
Jul,ARAKERE LAKE,"D (Propagation of wild life,fisheries)",4.1,7.0,984,11.0,4,48000,350000,3(BDL),68,18.8,5(BDL),68,132,104,0.9,272,140,132,5(BDL),91,688,2,0.5(BDL),23,0.3,2023
Jul,HOSAKEREHALLI LAKE,"D (Propagation of wild life,fisheries)",4.9,6.7,683,4.0,2.62,4900,92000,3(BDL),152,6.6,,152,112,45,0.66,184,96,88,28,66,476,0.25,0.5(BDL),14,0.2(BDL),2023
Jul,SOMPURA LAKE,"D (Propagation of wild life,fisheries)",4.7,7.9,1222,4.7,4.69,460,16000,3(BDL),280,5.6,5(BDL),280,208,44,0.72,332,172,160,50,108,858,0.2(BDL),0.5(BDL),24,0.38,2023
Jul,UTTARAHALLI DORAIKERE,"E (Irrigation, industrial cooling and controlled waste)",3.4,8.1,262,17.0,0.8,4900,54000,3(BDL),76,26.2,5(BDL),76,36,170,1.8,68,40,28,5(BDL),27,182,0.2(BDL),0.5(BDL),3,0.2(BDL),2023
Jul,MALATHAHALLI LAKE,"D (Propagation of wild life,fisheries)",5,7.9,1166,6.0,3.4,430,16000,,328,4.4,5(BDL),328,180,62,0.54,316,164,152,18,113,794,0.49,0.5(BDL),15,0.43,2023
Jul,ULLALU LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.2,7.1,602,17.0,1.7,22000,240000,3(BDL),172,28.1,5(BDL),172,92,173,2.9,160,88,72,9,59,424,0.3,0.5(BDL),8,0.22,2023
Jul,KODI SINGASANDRA LAKE,"D (Propagation of wild life,fisheries)",4.2,7.0,549,8.0,2,34000,240000,3(BDL),48,12.9,5(BDL),48,128,84,0.9,160,84,76,5(BDL),71,378,0.2(BDL),0.5(BDL),15,0.2(BDL),2023
Jul,KAMMAGONDANAHALLI LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.2,6.6,632,12.0,10,3300,54000,3(BDL),148,18.2,5(BDL),148,56,108,1.2,140,76,64,11,36,428,4,0.5(BDL),14,0.2(BDL),2023
Jul,HOSKERE LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.4,7.0,846,13.0,2.4,4600,92000,3(BDL),240,10.8,5(BDL),240,132,125,1.9,228,120,108,13,83,578,0.35,0.5(BDL),11,0.31,2023
Jul,SINGASANDRA LAKE,"D (Propagation of wild life,fisheries)",4.4,7.0,981,7.0,4,46000,540000,3(BDL),88,17.6,5(BDL),88,124,76,0.9,244,128,116,5(BDL),92,686,0.2(BDL),0.5(BDL),22,0.3,2023
Jul,IBBALUR LAKE,"E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),7.0,1056,45.0,4,31000,350000,3(BDL),68,10.2,5(BDL),68,188,236,15.2,184,96,88,7,118,10(BDL),0.2(BDL),0.5(BDL),27,0.3,2023
Jul,"Basavanapura Lake Ayyappa Nagr Main Road ,
K. R. Puram , Bengaluru","D (Propagation of wild life,fisheries)",5.5,7.3,373,6.0,1.5,7900,92000,3(BDL),116,15.2,5(BDL),116,48,50,0.98,100,56,44,10,54,250,1,0.5(BDL),17,0.36,2023
Jul,BELLANDUR LAKE,"E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),7.0,1382,202.0,5,2600000,35000000,3(BDL),132,15.2,5(BDL),132,176,788,28.0,328,168,160,6,106,966,0.2(BDL),0.5(BDL),30,0.3,2023
Jul,Kannur Lake Near By Hennur Road Bengalore,"D (Propagation of wild life,fisheries)",4.8,7.3,740,7.0,3.2,4800,54000,3(BDL),200,6.5,5(BDL),200,116,64,0.95,296,152,144,8,96,508,1,0.5(BDL),21,0.4,2023
Jul,YELEMALLAPPA SHETTY LAKE,"E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),6.7,1220,34.0,5.5,47000,540000,3(BDL),464,25.6,5(BDL),464,168,224,4.0,300,156,144,20,164,832,3.8,0.5(BDL),28,0.48,2023
Jul,VIBHUTHIPURA LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.1,6.9,743,12.0,2.85,2600,54000,3(BDL),168,19.0,5(BDL),168,120,110,2.0,200,104,96,30,69,520,0.29,0.5(BDL),15,0.38,2023
Jul,BHATTARAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.2,8.2,580,9.0,2.6,8400,160000,3(BDL),108,15.4,5(BDL),108,144,84,0.96,96,52,44,15,88,396,0.9,0.5(BDL),17,0.24,2023
Jul,DODDABIDARAKALLU LAKE,"E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),6.7,1480,83.0,5.69,170000,2400000,3(BDL),340,16.8,5(BDL),340,252,320,14.2,404,208,196,60,125,1042,0.83,0.5(BDL),30,0.41,2023
Jul,ANCHEPALYA LAKE,"D (Propagation of wild life,fisheries)",4.5,6.5,497,4.0,1.91,3300,54000,3(BDL),108,28.4,5(BDL),108,80,40,0.88,132,72,60,20,47,346,0.25,0.5(BDL),10,0.2(BDL),2023
Jul,VARTHUR LAKE,"E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),7.3,1380,73.0,5.3,1700000,24000000,3(BDL),316,11.2,5(BDL),316,232,328,17.8,352,180,172,56,120,972,0.87,0.5(BDL),28,0.42,2023
Jul,KAIKONDANAHALLI LAKE,"D (Propagation of wild life,fisheries)",6.7,7.5,364,4.0,1.39,4800,54000,3(BDL),76,4.3,5(BDL),76,56,40,0.4,96,52,44,15,29,252,0.2(BDL),0.5(BDL),7,0.2(BDL),2023
Jul,SHEELAVANTA-WHITEFIELD LAKE,"E (Irrigation, industrial cooling and controlled waste)",3,7.0,978,13.0,3.76,4000,92000,3(BDL),224,22.3,5(BDL),224,164,116,2.2,264,136,128,39,88,682,0.45,0.5(BDL),20,0.29,2023
Jul,"Soulkere, Kaikondrahalli Vill,Bengaluru","D (Propagation of wild life,fisheries)",5.6,7.3,647,4.0,2.48,2200,35000,3(BDL),144,28.2,5(BDL),144,108,44,0.41,176,92,84,26,62,454,0.2(BDL),0.5(BDL),13,0.28,2023
Jul,ALUR LAKE,"D (Propagation of wild life,fisheries)",6.1,6.8,213,4.0,1,3100,160000,3(BDL),36,4.1,5(BDL),36,28,40,0.4,48,28,20,8,16,148,0.2(BDL),0.5(BDL),4,0.2(BDL),2023
Jul,DODDAKANNEHALLI LAKE,"D (Propagation of wild life,fisheries)",4.1,6.6,368,11.0,1.1,4600,92000,3(BDL),104,14.4,5(BDL),104,56,111,0.95,96,56,40,6,38,254,0.2(BDL),0.5(BDL),5,0.21,2023
Jul,HESARAGHATTA LAKE,"D (Propagation of wild life,fisheries)",5.2,6.9,340,4.0,1.33,470,16000,3(BDL),76,2.8,5(BDL),76,56,43,0.44,92,52,40,14,38,238,0.2(BDL),0.5(BDL),7,0.2(BDL),2023
Jul,DEVARABEESANAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.3,7.4,645,11.0,1.9,470,16000,3(BDL),184,10.0,5(BDL),184,100,107,0.93,172,92,80,10,81,440,0.23,0.5(BDL),15,0.35,2023
Jul,CHIKKABANAVARA LAKE,"E (Irrigation, industrial cooling and controlled waste)",2.7,7.0,1700,13.0,6.68,4100,92000,3(BDL),392,13.6,5(BDL),392,288,121,3.2,464,236,228,69,140,1192,1.24,0.5(BDL),34,0.33,2023
Jul,KASAVANAHALLI LAKE,"D (Propagation of wild life,fisheries)",6.5,6.6,373,4.0,1.43,23000,240000,3(BDL),80,10.4,5(BDL),80,64,40,0.56,100,56,44,15,32,262,0.2(BDL),0.5(BDL),7,0.22,2023
Jul,HARALUR LAKE,"D (Propagation of wild life,fisheries)",5.4,7.3,646,4.0,2.44,490,9200,3(BDL),140,27.1,5(BDL),140,104,45,0.58,176,96,80,27,61,452,0.2(BDL),0.5(BDL),13,0.31,2023
Jul,"Kudlu Doddakere, Kudlu Vill,Bengaluru","D (Propagation of wild life,fisheries)",5.5,7.4,647,4.0,2.48,4300,160000,3(BDL),148,26.9,5(BDL),148,108,45,0.57,180,96,84,28,62,456,0.2(BDL),0.5(BDL),13,0.33,2023
Jul,AGARAM LAKE,"D (Propagation of wild life,fisheries)",6.3,6.7,372,4.0,1.45,4900,92000,3(BDL),84,9.6,5(BDL),84,60,42,0.4,104,56,48,16,31,260,0.2(BDL),0.5(BDL),7,0.24,2023
Jul,SOMASUNDRAPALYA LAKE,"D (Propagation of wild life,fisheries)",6.4,6.6,371,4.0,1.42,4800,54000,3(BDL),80,9.8,5(BDL),80,56,41,0.4,100,52,48,15,31,258,0.2(BDL),0.5(BDL),7,0.26,2023
Jul,PARAPPANA AGRAHARA LAKE,"D (Propagation of wild life,fisheries)",5.3,7.4,646,4.0,2.53,430,16000,3(BDL),140,176.0,5(BDL),140,100,45,0.49,176,96,80,27,62,454,0.2(BDL),0.5(BDL),13,0.32,2023
Jul,MANGAMANAPALYA LAKE(SWARANA KUNTE,"D (Propagation of wild life,fisheries)",6.2,6.6,371,4.0,1.44,4000,35000,3(BDL),84,9.7,5(BDL),84,64,43,0.4,104,56,48,15,64,256,0.2(BDL),0.5(BDL),7,0.26,2023
Jul,"Anjanapura Lake ( Avala Halli Lake) Anjanapura,Beng","D (Propagation of wild life,fisheries)",6.1,6.7,370,4.0,1.42,630,9200,,80,9.9,5(BDL),80,60,42,0.4,100,52,48,16,31,254,0.2(BDL),0.5(BDL),7,0.25,2023
Jul,SARAKKI LAKE,"D (Propagation of wild life,fisheries)",4.9,7.5,740,4.0,2.84,460,16000,3(BDL),164,2.4,5(BDL),164,124,44,0.59,200,104,96,30,69,516,0.2(BDL),0.5(BDL),15,0.25,2023
Jul,YELACHENAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.7,8.5,284,4.0,1.1,4300,54000,,72,7.6,5(BDL),72,44,46,0.72,64,36,28,12,25,198,0.2(BDL),0.5(BDL),6,0.2(BDL),2023
Jul,CHINNAKURCHI KERE,"D (Propagation of wild life,fisheries)",5.8,8.2,1401,7.0,4.3,4300,54000,3(BDL),476,3.2,5(BDL),476,308,65,0.68,264,136,128,31,129,950,0.25,0.5(BDL),39,0.43,2023
Jul,VENGAIYYANAKERE( KR PURAM LAKE ),"E (Irrigation, industrial cooling and controlled waste)",2.9,7.2,1404,58.0,5,46000,350000,3(BDL),312,34.2,5(BDL),312,152,220,1.3,252,132,120,31,42,938,1,0.5(BDL),30,0.29,2023
Jul,DHOREKERE TANK,"E (Irrigation, industrial cooling and controlled waste)",3,7.4,446,20.0,1.3,1700,24000,3(BDL),124,38.5,5(BDL),124,68,199,3.6,116,64,52,7,45,306,0.2(BDL),0.5(BDL),6,0.2(BDL),2023
Jul,SHIVAPURA TANK,"E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),6.7,1954,78.0,31,1300000,3500000,3(BDL),416,28.9,5(BDL),416,508,254,5.2,496,252,244,74,201,1330,8,0.5(BDL),24,0.5,2023
Jul,MADHURE TANK,"D (Propagation of wild life,fisheries)",4.1,7.3,1127,10.0,20,2600,35000,3(BDL),196,9.2,5(BDL),196,216,88,0.82,252,132,120,17,98,764,0.24,0.5(BDL),27,0.35,2023
Jul,TUBARAHALLI TANK,"D (Propagation of wild life,fisheries)",4.3,7.0,639,4.3,2,4000,35000,3(BDL),100,3.4,5(BDL),100,128,80,0.4,152,80,72,6,84,440,0.2(BDL),0.5(BDL),11,0.2(BDL),2023
Jul,YELAHANKA TANK,"D (Propagation of wild life,fisheries)",4.1,7.0,626,11.0,1.8,310,9200,3(BDL),116,25.4,5(BDL),116,96,105,0.94,108,60,48,7,79,428,0.2(BDL),0.5(BDL),14,0.27,2023
Jul,BYRASANDRA TANK,"D (Propagation of wild life,fisheries)",4,7.4,744,4.0,2,4700,54000,3(BDL),156,10.0,5(BDL),156,108,44,0.4,256,132,124,5(BDL),145,520,0.2(BDL),0.5(BDL),16,0.3,2023
Jul,KALKERE TANK,"D (Propagation of wild life,fisheries)",4.2,7.0,1272,11.0,5,8400,92000,3(BDL),352,29.0,5(BDL),352,316,104,0.4,308,160,148,12,126,864,2,0.5(BDL),32,0.3,2023
Jul,MADIWALA TANK,"D (Propagation of wild life,fisheries)",5.8,7.3,972,5.0,3,4000,35000,3(BDL),236,20.5,5(BDL),236,120,60,0.54,224,120,104,14,95,652,1,0.5(BDL),30,0.27,2023
Jul,CHANDAPURA LAKE,"E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),7.0,2390,25.0,7.3,220000,2400000,3(BDL),620,8.2,5(BDL),620,408,313,4.6,648,328,320,30,199,1630,1.24,0.5(BDL),21,0.84,2023
Jul,RAYASANDRA LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.3,7.1,1880,18.0,4,46000,350000,3(BDL),500,9.1,5(BDL),500,352,207,4.0,532,272,260,24,174,1280,3,0.5(BDL),19,0.21,2023
Jul,BEGUR TANK,"D (Propagation of wild life,fisheries)",4.3,7.0,552,9.0,2,4900,92000,3(BDL),84,6.1,5(BDL),84,84,88,0.75,152,80,17,5(BDL),73,380,0.2(BDL),0.5(BDL),16,0.2(BDL),2023
Jul,NAYANDANAHALLI TANK,"D (Propagation of wild life,fisheries)",4.2,8.1,963,10.0,2.8,1700,92000,3(BDL),272,14.3,5(BDL),272,148,101,0.9,260,136,124,15,94,656,0.4,0.5(BDL),12,0.36,2023
Jul,JIGANI TANK,"D (Propagation of wild life,fisheries)",5.2,7.5,817,4.0,3.13,320,16000,3(BDL),184,4.8,5(BDL),184,136,40,0.4,216,112,104,33,76,568,0.2(BDL),0.5(BDL),16,0.26,2023
Jul,DASARAHALLI TANK,"D (Propagation of wild life,fisheries)",4.8,6.6,412,4.0,1.59,2200,24000,3(BDL),88,26.1,5(BDL),88,68,40,0.75,108,60,48,17,40,288,0.22,0.5(BDL),8,0.2(BDL),2023
Jul,RAMAMMANA KERE,"D (Propagation of wild life,fisheries)",4.4,6.9,1696,5.0,6.53,4100,35000,3(BDL),388,19.2,5(BDL),388,284,45,0.91,460,236,224,69,140,1188,0.92,0.5(BDL),34,0.39,2023
Jul,YEDIYUR TANK,"D (Propagation of wild life,fisheries)",4.5,7.6,245,4.0,1,3400,35000,3(BDL),48,11.2,5(BDL),48,40,42,0.76,60,36,24,10,21,170,0.2(BDL),0.5(BDL),5,0.2(BDL),2023
Jul,KEMPAMBUDHI TANK,"E (Irrigation, industrial cooling and controlled waste)",3,6.9,435,14.0,1.68,1700,24000,3(BDL),92,8.1,5(BDL),92,72,121,2.9,116,64,52,18,40,302,0.29,0.5(BDL),9,0.28,2023
Jul,LALBAGH TANK,"E (Irrigation, industrial cooling and controlled waste)",3.1,7.2,470,13.0,1.81,330,9200,3(BDL),104,6.2,5(BDL),104,76,120,2.7,124,68,56,19,45,328,0.2(BDL),0.5(BDL),9,0.33,2023
Jul,Narasipura  Lake,"D (Propagation of wild life,fisheries)",4.3,6.9,527,9.0,1.12,490,16000,3(BDL),156,8.6,5(BDL),156,68,117,0.226,132,72,60,16,58,360,0.2(BDL),0.5(BDL),10,0.2(BDL),2023
Jul,Rachenahalli  Lake,"D (Propagation of wild life,fisheries)",5,6.8,1111,7.0,2,4600,54000,3(BDL),276,16.5,5(BDL),276,168,83,0.438,280,144,136,26,103,760,1.5,0.5(BDL),29,0.212,2023
Jul,Kogilu  Lake,"D (Propagation of wild life,fisheries)",4.2,6.9,526,9.0,1.1,430,9200,3(BDL),156,13.7,5(BDL),156,70,113,0.4,160,84,76,12,57,360,1.22,0.5(BDL),13,0.2(BDL),2023
Jul,Gubbalala  Lake,"D (Propagation of wild life,fisheries)",4.8,6.9,380,6.0,0.7,3300,54000,3(BDL),140,10.3,5(BDL),140,36,71,0.4,144,76,68,11,28,260,0.2(BDL),0.5(BDL),3,0.2(BDL),2023
Jul,Subramanyapura   Lake,"D (Propagation of wild life,fisheries)",4.3,7.1,732,5.0,1.4,5800,92000,3(BDL),196,12.1,5(BDL),196,100,66,0.4,220,116,104,26,79,502,0.2(BDL),0.5(BDL),13,0.2(BDL),2023
Jul,Devarakere   Lake,"D (Propagation of wild life,fisheries)",4.4,6.7,320,5.0,0.63,4000,35000,3(BDL),120,2.1,5(BDL),120,32,46,0.2,128,68,60,4,27,220,0.27,0.5(BDL),3,0.2(BDL),2023
