"STN
Code",Sampling Month,Name Of Monitoring Location,Use Based Class,Dissolved O2 (mg/L),pH,Conductivity (&micro;mho/cm),"BOD
(mg/L)",NitrateN (mg/L),Fecal Coliform (MPN/100ml),Total  Coliform (MPN/100ml),Fecal Streptococci (MPN/100ml),Carbonate (CO3-) (mg/L),Bicarbonate (HCO3-) (mg/L),Turbidity (mg/L),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Total Kjeldahl Nitrogen (mg/L),Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Mg as CaCo3 (mg/L),Sulphate (mg/L),Sodium (mg/L),Total Dissolved Solids (mg/L),Total Suspended Solids (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
1388,Dec,"ULSOOR LAKE TRAINING
CENTRE OF FISH BREEDING","D (Propagation of wild life,fisheries)",4.6,8.0,332.0,8.0,1.15,4000.0,54000.0,,3(BDL),64.0,28.2,5(BDL),64.0,44.0,96.0,1.5(BDL),0.84,88.0,52.0,36.0,16,46.0,222.0,32,0.2(BDL),0.5(BDL),13.0,0.2(BDL),49.0,2.0,0.1,2023
2778,Dec,RIVER ARKAVATHI AT TIPPAGONDANAHALLI RESERVOIR,"E (Irrigation, industrial cooling and controlled waste)",1.8,7.5,1374.0,21.0,5.3,46000.0,350000.0,1600.0,3(BDL),320.0,7.1,5(BDL),320.0,232.0,168.0,10.9,8.6,372.0,192.0,180.0,56,118.0,952.0,10(BDL),0.77,0.5(BDL),27.0,0.26,38.0,2.7,2.1,2023
3589,Dec,MADIWALA TANK,"E (Irrigation, industrial cooling and controlled waste)",3.1,6.8,616.0,11.0,2.0,480.0,16000.0,,3(BDL),96.0,2.0,5(BDL),96.0,92.0,104.0,1.5(BDL),0.91,232.0,120.0,112.0,33,58.0,425.0,10(BDL),0.2(BDL),0.5(BDL),29.0,0.27,32.0,2.0,0.05(BDL),2023
3590,Dec,LALBAGH TANK,"D (Propagation of wild life,fisheries)",6.6,8.4,448.0,6.0,2.0,4600.0,54000.0,,24,112.0,8.9,5(BDL),124.0,68.0,56.0,1.5(BDL),0.41,236.0,124.0,112.0,8,37.0,304.0,12,0.2(BDL),0.5(BDL),2.0,0.4,25.0,1.04,0.05(BDL),2023
3591,Dec,KEMPAMBUDHI TANK,"E (Irrigation, industrial cooling and controlled waste)",3.2,7.3,462.0,15.0,1.77,2700.0,24000.0,,3(BDL),172.0,39.4,5(BDL),172.0,72.0,121.0,4.7,3.8,120.0,64.0,56.0,19,37.0,320.0,48,0.34,0.5(BDL),9.0,0.26,37.0,1.5,0.94,2023
3592,Dec,YEDIYUR TANK,"D (Propagation of wild life,fisheries)",4.7,6.8,271.0,5.0,1.04,2700.0,24000.0,,3(BDL),60.0,12.3,5(BDL),60.0,40.0,121.0,1.5(BDL),0.76,68.0,40.0,28.0,11,22.0,186.0,16,0.2(BDL),0.5(BDL),5.0,0.2(BDL),39.0,1.2,0.05(BDL),2023
3593,Dec,ULSOOR LAKE TEMPLE,"D (Propagation of wild life,fisheries)",5,8.1,333.0,7.0,1.16,3100.0,35000.0,,3(BDL),72.0,32.6,5(BDL),72.0,40.0,84.0,1.5(BDL),0.89,80.0,48.0,32.0,16,46.0,224.0,40,0.2(BDL),0.5(BDL),14.0,0.2(BDL),51.0,2.0,0.17,2023
3594,Dec,SANKEY TANK,"D (Propagation of wild life,fisheries)",4.4,7.76,491.0,8.0,1.1,480.0,16000.0,,3(BDL),168.0,4.2,5(BDL),168.0,76.0,96.0,1.5(BDL),0.4,192.0,100.0,92.0,21,38.0,336.0,10(BDL),0.2(BDL),0.5(BDL),4.0,0.26,30.0,1.1,0.05(BDL),2023
3595,Dec,BYRASANDRA TANK,"E (Irrigation, industrial cooling and controlled waste)",3.1,6.9,459.0,16.0,2.0,7000.0,92000.0,,3(BDL),100.0,20.1,5(BDL),100.0,40.0,112.0,2.26,1.7,112.0,64.0,48.0,19,49.0,312.0,24,0.5,0.5(BDL),13.0,0.2(BDL),45.0,2.0,1.2,2023
3596,Dec,NAYANDANAHALLI TANK,"E (Irrigation, industrial cooling and controlled waste)",1.2,7.2,902.0,40.0,3.1,940.0,16000.0,,3(BDL),208.0,1.2,5(BDL),208.0,140.0,192.0,9,6.9,260.0,136.0,124.0,32,107.0,608.0,10(BDL),1.08,0.5(BDL),27.0,0.21,44.0,4.0,2.9,2023
3597,Dec,HESARAGHATTA LAKE,"D (Propagation of wild life,fisheries)",4.3,7.8,281.0,9.0,1.8,700.0,9200.0,,3(BDL),80.0,4.3,5(BDL),80.0,40.0,91.0,1.5(BDL),0.92,72.0,44.0,28.0,5(BDL),29.0,194.0,10(BDL),0.2(BDL),0.5(BDL),4.0,0.2(BDL),44.0,1.4,0.05(BDL),2023
3598,Dec,HEROHALLI TANK,"D (Propagation of wild life,fisheries)",4.3,7.5,390.0,5.0,0.85,7000.0,92000.0,,3(BDL),124.0,5.8,5(BDL),124.0,72.0,67.0,1.5(BDL),0.4,136.0,68.0,68.0,5(BDL),41.0,268.0,10(BDL),0.2(BDL),0.5(BDL),3.0,0.2(BDL),39.0,1.0,0.05(BDL),2023
3599,Dec,ANCHEPALYA LAKE,"D (Propagation of wild life,fisheries)",4.2,7.2,386.0,7.0,0.96,6300.0,54000.0,,3(BDL),112.0,5.3,5(BDL),112.0,76.0,83.0,1.5(BDL),0.96,136.0,76.0,60.0,5(BDL),42.0,270.0,10(BDL),0.2(BDL),0.5(BDL),3.0,0.2(BDL),39.0,1.13,0.05(BDL),2023
3600,Dec,SHIVAPURA TANK,"D (Propagation of wild life,fisheries)",4.1,8.2,589.0,10.0,2.0,4300.0,54000.0,,3(BDL),144.0,31.2,5(BDL),144.0,88.0,120.0,1.5(BDL),0.92,120.0,64.0,56.0,19,49.0,400.0,40,0.46,0.5(BDL),4.0,0.21,45.0,1.9,1.4,2023
3601,Dec,KARIHOBANAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.3,7.06,2137.0,9.0,7.4,31000.0,350000.0,,3(BDL),476.0,6.3,5(BDL),476.0,400.0,107.0,1.5(BDL),0.42,500.0,256.0,244.0,35,132.0,1458.0,10(BDL),0.2(BDL),0.5(BDL),16.0,0.39,36.0,2.6,0.32,2023
3602,Dec,BELLANDUR LAKE,"D (Propagation of wild life,fisheries)",4.2,7.5,1061.0,7.0,4.1,2200.0,24000.0,,3(BDL),348.0,7.6,5(BDL),348.0,116.0,68.0,1.5(BDL),0.9,428.0,220.0,208.0,10,112.0,734.0,10(BDL),1.6,0.5(BDL),31.0,0.44,34.0,2.4,2.6,2023
3603,Dec,VENGAIYYANAKERE ( KR PURAM LAKE ),"E (Irrigation, industrial cooling and controlled waste)",3.3,6.9,1463.0,13.0,5.6,9400.0,160000.0,,3(BDL),340.0,7.7,5(BDL),340.0,244.0,115.0,2.2,1.8,396.0,204.0,192.0,59,127.0,1012.0,10(BDL),1.23,0.5(BDL),29.0,0.52,39.0,2.79,3.4,2023
3604,Dec,DODDANEKKUNDI LAKE,"D (Propagation of wild life,fisheries)",4.6,7.2,1714.0,8.0,7.0,2300.0,24000.0,,3(BDL),252.0,2.1,5(BDL),252.0,324.0,92.0,1.5(BDL),0.96,364.0,188.0,176.0,19,161.0,1164.0,10(BDL),0.31,0.5(BDL),13.0,0.42,47.0,4.0,0.95,2023
3605,Dec,"YELEMALLAPPA
SHETTY LAKE","E (Irrigation, industrial cooling and controlled waste)",1,7.5,1315.0,18.0,5.0,490.0,16000.0,,3(BDL),332.0,21.2,5(BDL),332.0,164.0,140.0,6.24,4.8,268.0,140.0,128.0,24,118.0,894.0,28,1.86,0.5(BDL),10.0,0.46,47.0,3.0,5.71,2023
3606,Dec,DASARAHALLI TANK,"D (Propagation of wild life,fisheries)",4.4,7.5,424.0,6.0,0.92,58000.0,160000.0,,3(BDL),116.0,6.3,5(BDL),116.0,108.0,74.0,1.5(BDL),0.6,124.0,72.0,52.0,7,39.0,286.0,10(BDL),0.2(BDL),0.5(BDL),4.2,0.2(BDL),39.0,2.0,0.05(BDL),2023
3607,Dec,KALKERE TANK,"E (Irrigation, industrial cooling and controlled waste)",2.3,7.9,926.0,17.0,3.0,70000.0,350000.0,,3(BDL),256.0,16.6,5(BDL),256.0,188.0,,3.1,2.4,76.0,44.0,32.0,36,95.0,640.0,10(BDL),1,0.5(BDL),17.0,0.26,67.0,4.7,2.5,2023
3608,Dec,VARTHUR LAKE,"E (Irrigation, industrial cooling and controlled waste)",1.2,6.8,1248.0,21.0,4.8,40000.0,350000.0,,3(BDL),284.0,6.2,5(BDL),284.0,208.0,164.0,8.3,6.4,336.0,172.0,164.0,51,112.0,860.0,10(BDL),1.07,0.5(BDL),25.0,0.42,41.0,2.7,2.67,2023
3609,Dec,IBBALUR LAKE,"D (Propagation of wild life,fisheries)",4.2,7.3,588.0,8.0,,9400.0,54000.0,,3(BDL),88.0,5.1,5(BDL),88.0,52.0,72.0,1.5(BDL),0.9,148.0,80.0,68.0,10,48.0,432.0,10(BDL),0.21,0.5(BDL),22.0,0.2(BDL),49.0,1.7,0.6,2023
3610,Dec,TUBARAHALLI TANK,"D (Propagation of wild life,fisheries)",6.2,7.8,571.0,4.0,2.0,6300.0,92000.0,,3(BDL),88.0,31.2,5(BDL),88.0,104.0,40.0,1.5(BDL),0.61,92.0,52.0,40.0,23,47.0,388.0,10(BDL),0.2(BDL),0.5(BDL),4.0,0.26,50.0,1.8,0.05(BDL),2023
3611,Dec,KAIKONDANAHALLI LAKE,"E (Irrigation, industrial cooling and controlled waste)",2.9,7.2,1886.0,18.0,7.2,79000.0,350000.0,,3(BDL),436.0,13.0,5(BDL),436.0,320.0,133.0,6.4,4.9,516.0,264.0,252.0,76,151.0,1314.0,10(BDL),0.59,0.5(BDL),38.0,0.48,37.0,3.0,1.69,2023
3612,Dec,AGARAM LAKE,"D (Propagation of wild life,fisheries)",5.3,7.3,802.0,5.0,2.8,700.0,16000.0,,3(BDL),72.0,4.9,5(BDL),72.0,156.0,49.0,1.5(BDL),0.78,128.0,68.0,60.0,41,85.0,420.0,10(BDL),0.2(BDL),0.5(BDL),26.0,0.22,53.0,3.3,0.6,2023
3613,Dec,GOTTIGERE LAKE,"D (Propagation of wild life,fisheries)",6.1,7.8,788.0,4.0,3.0,340.0,5400.0,,3(BDL),148.0,2.3,5(BDL),148.0,156.0,48.0,1.5(BDL),0.4,108.0,60.0,48.0,8,107.0,530.0,10(BDL),0.2(BDL),0.5(BDL),59.0,0.2(BDL),56.0,4.0,0.23,2023
3614,Dec,PUTTENAHALLI LAKE,"D (Propagation of wild life,fisheries)",5.6,7.7,534.0,6.0,2.15,480.0,16000.0,,3(BDL),120.0,6.5,5(BDL),120.0,76.0,60.0,1.5(BDL),0.4,112.0,48.0,64.0,25,55.0,368.0,10(BDL),0.2(BDL),0.5(BDL),27.0,0.24,45.0,2.0,0.05(BDL),2023
3615,Dec,ARAKERE LAKE,"E (Irrigation, industrial cooling and controlled waste)",3,7.0,448.0,29.0,2.0,4600.0,35000.0,,3(BDL),84.0,26.4,5(BDL),84.0,56.0,172.0,3.7,2.9,104.0,56.0,48.0,17,43.0,308.0,34,0.2(BDL),0.5(BDL),20.0,0.27,42.0,2.0,0.15,2023
3616,Dec,KALENA AGRAHARA LAKE,"D (Propagation of wild life,fisheries)",4.2,7.4,539.0,13.0,2.0,490.0,5400.0,,3(BDL),132.0,25.5,5(BDL),132.0,52.0,116.0,1.5(BDL),0.94,132.0,72.0,60.0,11,52.0,370.0,30,0.2(BDL),0.5(BDL),25.0,0.27,58.0,2.0,0.05(BDL),2023
3617,Dec,HULIMAVU LAKE,"E (Irrigation, industrial cooling and controlled waste)",2.4,6.8,610.0,29.0,2.0,700.0,16000.0,,3(BDL),128.0,30.5,5(BDL),128.0,80.0,176.0,3.9,3.0,132.0,72.0,60.0,8,58.0,420.0,40,0.29,0.5(BDL),28.0,0.26,44.0,2.0,0.58,2023
3618,Dec,SINGASANDRA LAKE,"E (Irrigation, industrial cooling and controlled waste)",2.6,6.9,625.0,8.0,2.2,480.0,5400.0,,3(BDL),144.0,10.4,5(BDL),144.0,96.0,76.0,2.6,2.4,124.0,68.0,56.0,,69.0,450.0,14,0.3,0.5(BDL),22.0,0.26,46.0,22.0,0.7,2023
3619,Dec,BEGUR TANK,"E (Irrigation, industrial cooling and controlled waste)",2.5,6.9,540.0,35.0,2.0,790.0,9200.0,,3(BDL),120.0,3.2,5(BDL),120.0,92.0,184.0,3.9,3.0,124.0,68.0,56.0,32,43.0,372.0,50,0.2(BDL),0.5(BDL),20.0,0.25,38.0,2.0,0.31,2023
3620,Dec,"PARAPPANA
AGRAHARA LAKE","E (Irrigation, industrial cooling and controlled waste)",2.6,7.5,863.0,8.0,3.6,23000.0,240000.0,,3(BDL),200.0,12.2,5(BDL),200.0,136.0,83.0,2.2,1.7,196.0,104.0,92.0,33,104.0,596.0,16,2.2,0.5(BDL),29.0,0.38,49.0,3.2,4,2023
3621,Dec,HARALUR LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.1,6.8,905.0,16.0,,4600.0,92000.0,,3(BDL),208.0,41.2,5(BDL),208.0,148.0,120.0,5.3,4.2,244.0,128.0,116.0,37,86.0,630.0,52,0.55,0.5(BDL),18.0,0.38,41.0,2.4,1.58,2023
3622,Dec,SOMASUNDRAPALYA LAKE,"D (Propagation of wild life,fisheries)",4.8,7.8,748.0,6.0,3.2,430.0,5400.0,,3(BDL),172.0,10.2,5(BDL),172.0,160.0,55.0,1.5(BDL),0.76,116.0,64.0,51.0,9,91.0,518.0,12,0.2(BDL),0.5(BDL),30.0,0.31,50.0,3.7,0.4,2023
3623,Dec,ANEKAL DODDAKERE TANK,"D (Propagation of wild life,fisheries)",4.7,7.1,827.0,8.0,3.3,2700.0,24000.0,,3(BDL),220.0,6.0,5(BDL),220.0,148.0,79.0,1.5(BDL),0.83,204.0,108.0,96.0,5(BDL),99.0,536.0,10(BDL),0.2(BDL),0.5(BDL),25.0,0.2(BDL),48.0,3.0,0.05(BDL),2023
3624,Dec,PUTTENAHALLI LAKE,"D (Propagation of wild life,fisheries)",5.1,7.0,459.0,5.0,1.76,79000.0,350000.0,,3(BDL),104.0,2.7,5(BDL),104.0,72.0,49.0,1.5(BDL),0.81,120.0,64.0,56.0,,39.0,316.0,24,0.2(BDL),0.5(BDL),9.0,0.43,39.0,1.5,0.05(BDL),2023
3625,Dec,HEBBAL LAKE,"D (Propagation of wild life,fisheries)",5.3,6.9,462.0,4.0,1.79,4300.0,54000.0,,3(BDL),108.0,19.6,5(BDL),108.0,76.0,44.0,1.5(BDL),0.64,124.0,68.0,56.0,19,40.0,318.0,22,0.2(BDL),0.5(BDL),10.0,0.41,39.0,1.6,0.05(BDL),2023
3626,Dec,NAGAVARA LAKE,"D (Propagation of wild life,fisheries)",5,8.1,547.0,7.2,1.9,7000.0,92000.0,,3(BDL),128.0,3.6,5(BDL),128.0,48.0,68.0,1.5(BDL),0.86,176.0,92.0,84.0,19,63.0,382.0,10(BDL),0.43,0.5(BDL),15.0,0.2(BDL),41.0,2.06,1,2023
3627,Dec,JAKKUR LAKE,"D (Propagation of wild life,fisheries)",5.2,6.9,564.0,5.0,2.16,43000.0,540000.0,,3(BDL),128.0,8.6,5(BDL),128.0,92.0,47.0,1.5(BDL),0.52,152.0,80.0,72.0,23,47.0,382.0,10(BDL),0.23,0.5(BDL),11.0,0.26,38.0,1.7,0.6,2023
3628,Dec,AMRUTHAHALLI LAKE,"D (Propagation of wild life,fisheries)",5.1,7.9,565.0,7.3,1.9,4700.0,54000.0,,3(BDL),128.0,4.4,5(BDL),128.0,60.0,68.0,1.5(BDL),0.87,172.0,92.0,80.0,17,65.0,394.0,10(BDL),0.31,0.5(BDL),15.0,0.2(BDL),42.0,2.2,0.7,2023
3629,Dec,ALLALASANDRA LAKE,"D (Propagation of wild life,fisheries)",5.7,7.1,456.0,4.0,1.59,40000.0,350000.0,,3(BDL),100.0,20.1,5(BDL),100.0,68.0,40.0,1.5(BDL),0.56,116.0,64.0,52.0,18,38.0,314.0,26,0.2(BDL),0.5(BDL),9.0,0.39,39.0,1.5,0.05(BDL),2023
3630,Dec,YELAHANKA TANK,"D (Propagation of wild life,fisheries)",5.4,7.0,560.0,4.0,2.11,17000.0,240000.0,,3(BDL),124.0,88.0,5(BDL),124.0,88.0,40.0,1.5(BDL),0.49,148.0,76.0,72.0,23,46.0,388.0,10(BDL),0.2(BDL),0.5(BDL),10.0,0.28,38.0,1.6,0.55,2023
3632,Dec,VEERAPURA TANK,"D (Propagation of wild life,fisheries)",6,7.3,437.0,5.0,1.5,7000.0,160000.0,,3(BDL),116.0,2.0,5(BDL),116.0,44.0,52.0,1.5(BDL),0.4,164.0,88.0,76.0,14,36.0,294.0,10(BDL),0.2(BDL),0.5(BDL),6.0,0.21,32.0,1.0,0.16,2023
3633,Dec,SUBRAMANYAPURA TANK,"D (Propagation of wild life,fisheries)",5.5,8.2,788.0,4.0,2.7,4900.0,35000.0,,3(BDL),208.0,3.4,5(BDL),208.0,128.0,52.0,1.5(BDL),0.4,256.0,136.0,120.0,29,100.0,528.0,10(BDL),0.95,0.5(BDL),20.0,0.22,44.0,3.0,2.7,2023
3634,Dec,DEVARAKERE TANK,"E (Irrigation, industrial cooling and controlled waste)",2.2,7.2,279.0,16.0,0.86,4900.0,35000.0,,3(BDL),84.0,5.2,5(BDL),84.0,28.0,124.0,6.8,5.2,116.0,64.0,52.0,7,28.0,188.0,10(BDL),0.2(BDL),0.5(BDL),9.0,0.21,32.0,1.0,0.16,2023
3635,Dec,MALATHAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.3,7.9,913.0,9.0,2.09,1700.0,24000.0,,3(BDL),276.0,2.9,5(BDL),276.0,196.0,104.0,1.5(BDL),0.4,308.0,156.0,152.0,20,86.0,616.0,10(BDL),0.2(BDL),0.5(BDL),14.0,0.21,36.0,2.0,0.59,2023
3636,Dec,HOSKERE LAKE,"D (Propagation of wild life,fisheries)",4.6,6.9,582.0,7.0,1.0,9400.0,92000.0,,3(BDL),188.0,2.4,5(BDL),188.0,120.0,75.0,1.5(BDL),0.4,200.0,112.0,88.0,17,48.0,410.0,10(BDL),0.2(BDL),0.5(BDL),11.0,0.2(BDL),33.0,2.3,0.05(BDL),2023
3638,Dec,YELACHENAHALLI LAKE,"D (Propagation of wild life,fisheries)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
3640,Dec,UTTARAHALLI DORAIKERE,"D (Propagation of wild life,fisheries)",5.4,8.6,268.0,6.0,0.75,6300.0,54000.0,,8,44.0,118.0,5(BDL),48.0,28.0,56.0,1.5(BDL),0.4,128.0,72.0,56.0,24,29.0,174.0,110,0.2(BDL),0.5(BDL),9.0,0.26,31.0,1.0,0.22,2023
3641,Dec,DHOREKERE TANK,"D (Propagation of wild life,fisheries)",4.8,8.7,356.0,7.0,1.1,4600.0,54000.0,,8,88.0,39.7,5(BDL),92.0,32.0,84.0,1.5(BDL),0.4,152.0,84.0,68.0,30,36.0,238.0,52,0.52,0.5(BDL),9.0,0.23,32.0,1.0,1.4,2023
3642,Dec,JIGANI TANK,"D (Propagation of wild life,fisheries)",4.8,7.1,851.0,8.0,3.2,4800.0,54000.0,,3(BDL),208.0,4.5,5(BDL),208.0,144.0,74.0,1.5(BDL),0.83,208.0,108.0,100.0,10,99.0,588.0,10(BDL),0.3,0.5(BDL),24.0,0.24,47.0,3.0,0.6,2023
3643,Dec,BENNIGANAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.5,6.7,521.0,4.0,2.23,4300.0,160000.0,,3(BDL),116.0,4.3,5(BDL),116.0,84.0,45.0,1.5(BDL),0.71,136.0,72.0,64.0,21,49.0,360.0,10(BDL),0.24,0.5(BDL),10.0,0.2(BDL),41.0,1.8,0.65,2023
3655,Dec,MATHIKERE TANK,"D (Propagation of wild life,fisheries)",4.6,8.2,405.0,6.0,1.0,31000.0,350000.0,,3(BDL),116.0,4.4,5(BDL),116.0,76.0,74.0,1.5(BDL),0.4,112.0,60.0,52.0,20,37.0,278.0,10(BDL),0.2(BDL),0.5(BDL),4.0,0.33,40.0,1.8,0.05(BDL),2023
4094,Dec,GANGONDANAHALLI LAKE,"E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),7.2,1996.0,51.0,5.0,31000000.0,350000000.0,,3(BDL),592.0,16.2,5(BDL),592.0,520.0,352.0,19.1,14.6,632.0,328.0,304.0,69,160.0,1358.0,22,1.46,0.5(BDL),19.0,0.38,35.0,3.0,4.5,2023
4095,Dec,CHIKKABANAVARA LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.4,7.3,1353.0,12.0,3.9,5800.0,92000.0,,3(BDL),380.0,6.7,5(BDL),380.0,212.0,122.0,2.34,1.8,364.0,188.0,176.0,21,131.0,920.0,10(BDL),0.34,0.5(BDL),17.0,0.27,42.0,3.0,1.56,2023
4096,Dec,ANDHRAHALLI LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.6,7.3,2166.0,45.0,9.0,27000000.0,240000000.0,,3(BDL),568.0,52.0,5(BDL),568.0,316.0,236.0,11.2,8.6,572.0,292.0,280.0,14,196.0,1472.0,52,2.4,0.5(BDL),20.0,0.4,41.0,4.0,7.38,2023
4097,Dec,KACHOHALLI LAKE,"D (Propagation of wild life,fisheries)",4.3,6.8,1624.0,7.0,3.9,46000.0,350000.0,,3(BDL),484.0,4.8,5(BDL),484.0,400.0,87.0,1.5(BDL),0.4,528.0,268.0,260.0,51,127.0,1110.0,12,0.51,0.5(BDL),28.0,0.26,33.0,2.0,1.6,2023
