"STN
Code",Sampling Month,Name Of Monitoring Location,Use Based Class,"Temperature
°C",Dissolved O2 (mg/L),pH,Conductivity (&micro;mho/c m),"BOD
(mg/L)",NitrateN (mg/L),NitriteN (mg/L),"Fecal Coliform (MPN/100ml)","Total Coliform (MPN/100ml)","Fecal Streptococci (MPN/100ml
)","Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity (NTU),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Total Kjeldahl Nitrogen (mg/L),Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Ca (mg/L),Mg as CaCo3 (mg/L),Mg (mg/L),Sulphate (mg/L),Sodium (mg/L),Total Dissolved Solids (mg/L),Total Suspended Solids (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
5566,Jun,"Basavanapura Lake Ayyappa Nagr Main Road
, K. R. Puram , Bengaluru",D,27.0,4.4,7.5,486,8.0,2.1,0.02(BDL),330,2200,,3(BDL),108,2.9,5(BDL),108,52,80,1.5(BDL),0.82,92,52,21,40,10,12,58,326,10(BDL),0.2(BDL),0.5(BDL),15,0.33,53,3.0,0.29,2025
5568,Jun,"Ulsoor Lake Near Kalyani,Bengaluru",D,30.0,5.3,6.5,455,10.0,1.7,0.7,220,2200,,3(BDL),112,2.4,5(BDL),112,48,98,1.5(BDL),0.4,136,68,27,68,17,50,43,314,10(BDL),0.28,0.5(BDL),2,0.2(BDL),40,1.6,0.65,2025
5569,Jun,"Byrasandra Upper Lake,Bengaluru",D,30.0,5.8,7.1,461,7.0,1.8,0.7,1100,7900,,3(BDL),172,2.7,5(BDL),172,48,77,1.5(BDL),0.98,156,80,32,76,18,13,43,318,10(BDL),0.22,0.5(BDL),2,0.2(BDL),37,1.5,0.52,2025
5570,Jun,"Soulkere, Kaikondrahalli Vill,Bengaluru",D,24.0,4.8,7.7,1692,11.0,6.4,0.45,1700,9400,,3(BDL),184,2.8,5(BDL),184,328,120,1.5(BDL),0.4,264,136,54,128,31,43,190,1148,10(BDL),0.95,0.5(BDL),3,0.29,61,5.1,2.2,2025
5571,Jun,"Kudlu Doddakere, Kudlu Vill,Bengaluru",E,24.0,2.0,7.7,941,28.0,3.6,0.68,210,4300,,3(BDL),156,10.2,5(BDL),156,180,188,1.8,1.4,148,80,32,68,17,15,103,636,12,0.36,0.5(BDL),2,0.31,59,3.6,0.86,2025
5572,Jun,"Kudlu Chikkakere, Bgp Layout Kudlu Vill, Bengaluru",D,24.0,6.5,7.8,814,4.0,3.1,0.19,310,2800,,3(BDL),128,2.8,5(BDL),128,144,48,1.5(BDL),0.4,144,76,30,68,17,22,89,554,10(BDL),0.2(BDL),0.5(BDL),2,0.3,57,3.1,0.28,2025
5573,Jun,"Doddathogur Lake , Doddathoguru Vill,Bengaluru",D,27.0,5.2,7.5,847,4.0,3.25,0.15,2100,3500,,3(BDL),200,14.3,5(BDL),200,120,44,1.5(BDL),0.4,228,132,53,96,23,70,92,582,20,0.2(BDL),0.5(BDL),3,0.4,46,2.66,0.05(BDL),2025
5574,Jun,"Anjanapura Lake ( Avala Halli Lake) Anjanapura,Bengaluru",D,26.0,5.9,7.5,589,5.0,2.26,0.69,210,2200,,3(BDL),136,11.2,5(BDL),136,88,56,1.5(BDL),0.4,112,62,25,50,12,10,74,406,16,0.2(BDL),0.5(BDL),2,0.37,58,3.03,0.14,2025
5822,Jun,"Doddakammanahalli lake, Doddakammanahalli phase2, tejaswini nagar",D,26.0,5.2,8.1,528,4.0,2.03,0.02(BDL),260,2200,,3(BDL),112,13.1,5(BDL),112,64,44,1.5(BDL),0.4,136,90,36,46,11,23,51,354,18,0.2(BDL),0.5(BDL),2,0.47,44,1.9,0.05(BDL),2025
5823,Jun,"Basspura Lake, Aishwarya crystal layout, begur, Bengaluru",D,24.0,5.6,8.5,772,5.0,13.8,0.02(BDL),320,2200,,16,128,18.6,8,136,172,52,1.5(BDL),0.57,140,76,30,64,16,18,65,530,22,0.2(BDL),0.5(BDL),5,0.37,61,2.38,0.56,2025
5825,Jun,"Lower Amblipura Lake, PWD Quarters,1st Sector, HSR Layout Bengaluru",D,24.0,6.0,7.8,792,4.0,12.4,0.17,110,2400,,3(BDL),108,9.1,5(BDL),108,128,44,1.5(BDL),0.4,136,72,29,64,16,38,59,538,12,0.2(BDL),0.5(BDL),4,0.33,47,2.2,0.12,2025
5826,Jun,"Bhoganhalli Lake, Bhoganhalli,, Bengaluru",D,24.0,5.9,8.4,1196,5.0,21.4,0.02(BDL),220,1500,,32,164,6.2,16,180,336,48,1.5(BDL),0.4,280,144,58,136,33,38,108,810,10(BDL),0.75,0.5(BDL),9,0.35,30,2.8,2.09,2025
5828,Jun,"Parappana Agrahara Chikka kere, near central jail, sai sree layout Parappana Agrahara,",D,24.0,6.1,7.8,736,4.0,12.6,0.07,480,3500,,3(BDL),112,4.2,5(BDL),112,128,40,1.5(BDL),0.4,156,84,34,72,18,32,60,516,10(BDL),0.2(BDL),0.5(BDL),4,0.32,44,2.0,0.11,2025
5829,Jun,"Vittasandra Lake, vittasandra,",D,27.0,5.7,7.5,844,5.0,3.24,0.13,200,1700,,3(BDL),204,18.2,5(BDL),204,116,48,1.5(BDL),0.4,208,126,50,82,20,54,92,582,24,0.2(BDL),0.5(BDL),3,0.42,48,2.78,0.05(BDL),2025
5830,Jun,"Akshyanagara Lake, Akshyanagara West, Bengaluru",D,22.0,5.9,8.0,419,5.0,1.6,0.02(BDL),230,2800,,3(BDL),92,6.4,5(BDL),92,44,60,1.5(BDL),0.4,112,64,26,48,12,28,54,284,10(BDL),0.2(BDL),0.5(BDL),15,0.32,47,2.0,0.05(BDL),2025
5831,Jun,"Yallenahalli Lake, begur-koppa rd, Akshayanagara, Bengaluru",D,27.0,5.8,7.8,418,5.0,1.6,0.02(BDL),2100,7000,,3(BDL),100,15.2,5(BDL),100,60,48,1.5(BDL),0.4,124,80,32,44,11,22,51,286,20,0.2(BDL),0.5(BDL),2,0.45,46,1.98,0.18,2025
5833,Jun,Doddagubbi Lake,E,25.0,6.0,8.2,2930,4.0,10.9,0.08,310,3500,,3(BDL),400,5.3,5(BDL),400,516,40,1.5(BDL),0.4,200,108,43,92,22,19,296,1932,10(BDL),0.2(BDL),0.5(BDL),129,0.45,64,9.0,0.26,2025
5834,Jun,Chikkagubi Lake,E,25.0,0.3(BDL),8.4,12780,450.0,49.0,0.05,22000,130000,,300,2590,171.0,150,2740,2750,1488,95.0,73.0,1880,950,380,930,226,45,1460,8690,200,3.68,0.5(BDL),113,0.56,61,14.7,8.7,2025
5835,Jun,Vijanapura Lake,D,26.0,5.8,8.4,415,6.0,1.6,0.08,3200,12000,,3(BDL),132,22.5,5(BDL),132,52,72,1.5(BDL),0.5,128,68,27,60,15,25,39,284,28,0.29,0.5(BDL),1(BDL),0.2(BDL),39,1.4,0.69,2025
5836,Jun,Cheemasandra,D,26.0,5.0,8.5,787,8.0,3.0,0.02(BDL),250,1500,,48,116,7.6,24,140,148,88,1.5(BDL),0.76,116,64,26,52,13,15,103,534,10(BDL),0.2(BDL),0.5(BDL),2,0.41,65,4.4,0.17,2025
5837,Jun,Leghumenahalli lake,D,25.0,5.8,8.2,809,5.0,3.3,0.18,210,1700,,3(BDL),120,8.0,5(BDL),120,144,60,1.5(BDL),0.4,84,48,19,19,5,13,100,532,12,0.2(BDL),0.5(BDL),18,0.58,67,5.0,0.05(BDL),2025
5838,Jun,Varanasi lake,D,26.0,6.2,7.5,378,4.0,1.4,0.17,210,2100,,3(BDL),100,4.3,5(BDL),100,56,48,1.5(BDL),0.4,136,72,29,29,7,11,31,260,10(BDL),0.2(BDL),0.5(BDL),1(BDL),0.2(BDL),32,1.1,0.11,2025
5839,Jun,Gangashetty lake,D,26.0,5.3,7.6,961,6.0,3.6,0.02(BDL),170,2400,,3(BDL),236,25.5,5(BDL),236,140,64,1.5(BDL),0.63,140,76,30,64,16,14,99,654,30,0.2(BDL),0.5(BDL),2,0.41,60,3.9,0.21,2025
5840,Jun,Panathur lake,D,25.0,5.4,7.6,569,4.0,2.1,0.02(BDL),33,1600,,3(BDL),124,4.1,5(BDL),124,88,44,1.5(BDL),0.4,148,76,30,72,18,23,55,386,10(BDL),0.2(BDL),0.5(BDL),11,0.21,42,1.96,0.22,2025
5841,Jun,Garudacharpalya lake-2,D,26.0,5.2,7.3,645,6.0,2.5,0.05,210,1400,,3(BDL),152,24.0,5(BDL),152,112,61,1.5(BDL),0.4,176,92,37,84,20,25,65,439,40,0.2(BDL),0.5(BDL),8,0.32,50,2.1,0.24,2025
5842,Jun,Mahadevapura Lake-2,E,25.0,2.0,7.2,275,17.0,1.1,0.02(BDL),240,3500,,3(BDL),64,53.0,5(BDL),64,48,167,3.3,3.0,76,40,16,36,9,26,28,180,80,0.2(BDL),0.5(BDL),6,0.28,56,1.4,0.21,2025
5843,Jun,B- Narayannapura lake-2,D,26.0,5.3,7.1,392,5.0,1.5,0.02(BDL),3300,11000,,3(BDL),88,7.8,5(BDL),88,60,60,1.5(BDL),0.4,104,56,22,48,12,16,38,270,12,0.2(BDL),0.5(BDL),8,0.2(BDL),42,1.62,0.05(BDL),2025
5844,Jun,Halnayakanahalli lake,D,25.0,5.1,7.8,562,5.0,2.1,0.02(BDL),210,4300,,3(BDL),120,4.6,5(BDL),120,84,56,1.5(BDL),0.4,144,76,30,68,17,22,54,380,10(BDL),0.2(BDL),0.5(BDL),10,0.29,43,1.95,0.19,2025
