"STN
Code",Sampling Month,Name Of Monitoring Location,Use Based Class,Temperature° C,Dissolved O2 (mg/L),pH,Conductivity (&micro;mho/ cm),"BOD
(mg/L)",NitrateN (mg/L),NitriteN (mg/L),"Fecal Coliform (MPN/100ml)","Total Coliform (MPN/100ml)","Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity NTU,"Phenolphthalein Alkalinity
(mg/L)",Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)","Total Kjeldahl Nitrogen
(mg/L)",Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Calcium as Ca (mg/L),Mg as CaCo3 (mg/L),Magnesium as Mg (mg/L),Sulphate (mg/L),Sodium (mg/L),"Total Dissolved Solids
(mg/L)","Total Suspended Solids
(mg/L)",Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
5566,Jul,"Basavanapura Lake Ayyappa Nagr Main Road , K. R. Puram , Bengaluru",D,26.0,5.6,6.5,910,7.0,3.4,BDL,2200,7900,BDL,156,16.9,BDL,156,176,75,BDL,0.4,116,64,25.6,52,12.6,11,101,620,20,BDL,BDL,18,0.62,61.0,4.3,0.2,2025
5567,Jul,"Doddakallasandra Lake,Bengaluru",D,26.0,5.0,8.0,718,9.0,2.8,BDL,110,2400,BDL,184,12.1,BDL,184,116,100,1.6,1.2,184,92,36.8,92,22.4,12,75,492,16,0.25,BDL,8,0.41,46.0,2.4,0.6,2025
5568,Jul,"Ulsoor Lake Near Kalyani,Bengaluru",E,30.0,2.9,8.3,383,16.0,1.4,BDL,1100,7900,8,60,178,BDL,64,48,120,2.7,2.1,64,40,16.0,24,5.8,63,50,258,226,BDL,BDL,13,BDL,57.0,3.0,0.13,2025
5569,Jul,"Byrasandra Upper Lake,Bengaluru",E,28.0,2.7,7.7,795,22.0,3.0,0.69,2400,17000,BDL,208,7.3,BDL,208,76,152,9.1,7.1,184,100,40.0,84,20.4,67,79,534,BDL,1.3,BDL,15,BDL,46.0,3.0,3.4,2025
5570,Jul,"Soulkere, Kaikondrahalli Vill,Bengaluru",D,25.0,4.8,7.4,1526,9.0,5.8,BDL,170,2400,BDL,210,7.1,BDL,210,324,100,BDL,0.61,370,190,76.0,180,43.8,53,228,1038,BDL,BDL,BDL,36,0.78,54.0,5.2,BDL,2025
5571,Jul,"Kudlu Doddakere, Kudlu Vill,Bengaluru",E,26.0,3.2,7.7,1447,18.0,5.8,0.04,2300,8400,BDL,204,20.6,BDL,204,204,132,5.1,4.1,256,132,52.8,124,30.1,59,132,978,26,1.14,BDL,10,0.42,51.0,3.58,3.2,2025
5572,Jul,"Kudlu Chikkakere, Bgp Layout Kudlu
Vill ,Bengaluru",D,27.0,5.6,7.5,820,6.0,3.3,0.14,1400,11000,BDL,124,22.3,BDL,124,112,68,BDL,0.4,96,52,20.8,44,10.7,23,70,554,28,BDL,BDL,4,0.35,60.0,3.13,0.51,2025
5573,Jul,"Doddathogur Lake , Doddathoguru
Vill,Bengaluru",D,25.0,4.8,7.4,1500,10.0,5.8,BDL,310,4300,BDL,230,8,BDL,230,320,102,BDL,0.62,290,150,60.0,140,34.0,53,228,1020,12,BDL,BDL,36,0.79,59.0,5.8,0.14,2025
5574,Jul,"Anjanapura Lake ( Avala Halli Lake)
Anjanapura,Bengaluru",E,26.0,BDL,7.3,571,13.0,2.19,0.16,3900,22000,BDL,152,37.1,BDL,152,64,128,4,2.5,128,74,29.6,54,13.1,18,63,380,50,0.61,BDL,13,0.28,48.0,2.41,1.57,2025
5822,Jul,"Doddakammanahalli Lake, Doddakammanahalli Phase2, Tejaswini Nagar",D,26.0,5.2,8.2,998,9.0,3.8,0.4,310,3500,24,92,7,12,104,196,96,BDL,0.4,156,84,33.6,72,17.5,24,105,680,BDL,BDL,BDL,10,0.39,57.0,3.7,0.33,2025
5823,Jul,"Basspura Lake, Aishwarya Crystal
Layout, Begur, Bengaluru",D,26.0,4.8,7.6,818,5.0,3.2,0.08,430,2800,BDL,132,14.6,BDL,136,108,52,BDL,0.4,148,80,32.0,68,16.5,23,70,552,18,BDL,BDL,3,0.36,50.0,2.51,0.47,2025
5825,Jul,"Lower Amblipura Lake, Pwd Quarters,1St Sector, Hsr Layout Bengaluru",D,26.0,5.0,7.8,594,9.0,2.3,BDL,320,3500,BDL,132,14.2,BDL,132,104,104,1.61,1.2,132,68,27.2,64,15.6,11,62,410,18,BDL,BDL,7,0.33,49.0,2.3,0.15,2025
5826,Jul,"Bhoganhalli Lake, Bhoganhalli,,
Bengaluru",D,26.0,5.8,8.5,981,7.0,3.7,0.11,1700,6300,144,260,8,72,332,116,72,BDL,0.4,208,108,43.2,100,24.3,16,99,672,12,0.66,BDL,6,0.38,50.0,3.0,1.5,2025
5828,Jul,"Parappana Agrahara Chikka Kere, Near Central Jail, Sai Sree Layout Parappana Agrahara,",D,26.0,5.8,7.7,1036,6.0,4.2,0.44,240,3500,BDL,88,12.3,BDL,88,180,56,BDL,0.4,140,76,30.4,64,15.6,35,90,700,14,BDL,BDL,7,0.51,57.0,3.31,BDL,2025
5829,Jul,"Vittasandra Lake, Vittasandra,",D,26.0,6.1,7.5,826,4.0,3.3,0.13,270,3500,BDL,132,18.3,BDL,132,108,44,BDL,0.4,144,76,30.4,68,16.5,21,71,558,22,BDL,BDL,5,0.34,50.0,2.56,0.49,2025
5830,Jul,"Akshyanagara Lake, Akshyanagara West,
Bengaluru",E,26.0,BDL,7.3,1807,34.0,6.9,0.26,150,1700,BDL,192,115,BDL,192,324,168,2.89,2.23,228,120,48.0,108,26.3,55,174,1220,148,BDL,BDL,18,0.59,60.0,5.0,0.37,2025
5831,Jul,"Yallenahalli Lake, Begur-Koppa Rd,
Akshayanagara, Bengaluru",D,26.0,5.4,7.9,789,7.0,3.0,0.21,310,4300,BDL,156,9.5,BDL,156,132,72,BDL,0.4,140,76,30.4,64,15.6,19,88,542,16,0.22,BDL,9,0.31,56.0,3.4,0.52,2025
5833,Jul,Doddagubbi Lake,E,25.0,5.5,8.5,3530,6.0,13.2,BDL,340,2800,24,480,20.2,12,492,632,72,BDL,0.4,240,128,51.2,112,27.2,25,360,2328,26,BDL,BDL,195,0.62,62.0,10.0,0.23,2025
5834,Jul,Chikkagubi Lake,E,25.0,BDL,8.2,3045,66.0,11.69,0.54,790,4300,BDL,1128,26.9,BDL,1128,160,312,4.6,4.1,380,192,76.8,188,45.7,12,232,2054,36,1.21,BDL,58,0.46,50.0,5.19,3.68,2025
5835,Jul,Vijanapura Lake,D,26.0,5.8,8.5,478,6.0,1.8,BDL,390,4300,64,112,36.7,32,144,56,72,BDL,0.4,112,60,24.0,52,12.6,18,58,328,46,BDL,BDL,14,0.26,49.0,25.0,0.48,2025
5836,Jul,Cheemasandra,D,25.0,5.7,8.5,476,8.0,1.82,BDL,2000,9400,64,108,36.2,32,140,72,80,BDL,0.4,148,80,32.0,68,16.5,14,45,328,46,0.31,BDL,13,0.24,37.0,1.5,0.74,2025
5837,Jul,Leghumenahalli Lake,D,25.0,5.0,7.7,764,9.0,2.93,0.71,1700,7000,BDL,228,143,BDL,228,108,104,BDL,0.49,212,112,44.8,100,24.3,12,64,524,184,1.55,BDL,17,0.26,37.0,1.9,3.67,2025
5838,Jul,Varanasi Lake,D,26.0,6.5,8.4,402,4.0,1.54,BDL,2100,3500,40,40,21.9,20,60,60,46,BDL,0.4,124,68,27.2,56,13.6,13,35,282,28,BDL,BDL,9,0.22,36.0,1.2,0.26,2025
5839,Jul,Gangashetty Lake,D,26.0,5.0,8.0,496,7.0,1.8,0.12,110,790,BDL,88,6.2,BDL,88,92,68,BDL,0.4,92,52,20.8,40,9.7,25,33,330,BDL,1,BDL,10,0.29,40.0,1.5,0.23,2025
5840,Jul,Panathur Lake,E,25.0,2.7,7.4,842,28.0,3.0,BDL,11000,79000,BDL,132,2.8,BDL,132,120,184,3.1,2.4,116,64,25.6,52,12.6,14,96,556,,BDL,BDL,17,0.62,60.0,3.9,0.1,2025
5841,Jul,Garudacharpalya Lake-2,D,26.0,4.3,7.1,736,8.0,2.82,0.03,780,7000,BDL,200,5.2,BDL,200,112,96,BDL,0.91,164,88,35.2,76,18.5,BDL,71,498,BDL,1.37,BDL,15,0.25,46.0,1.28,4.19,2025
5842,Jul,Mahadevapura Lake-2,D,25.0,4.6,6.8,523,8.0,1.9,BDL,3100,7000,BDL,80,22.4,BDL,80,76,76,BDL,0.76,72,44,17.6,28,6.8,10,66,354,30,BDL,BDL,17,0.36,60.0,3.4,0.52,2025
5843,Jul,B- Narayannapura Lake-2,E,26.0,3.2,7.2,419,16.0,1.7,BDL,2600,8400,BDL,84,9.4,BDL,84,48,120,1.7,1.3,76,44,17.6,32,7.8,7,52,284,14,0.24,BDL,10,0.38,55.0,2.6,0.68,2025
5844,Jul,Halnayakanahalli Lake,D,25.0,5.9,7.2,758,5.0,3.0,BDL,200,4300,BDL,96,1.8,BDL,96,128,64,BDL,0.4,132,72,28.8,60,14.6,13,82,506,BDL,BDL,BDL,12,0.33,54.0,3.1,0.25,2025
