Sl.No,STN Code,Name Of Monitoring Location,Use Based Class,Dissolved O2 (mg/L),pH,Conductivity (&micro;mho/cm),BOD (mg/L),Nitrate as N (mg/L),"Fecal Coliform (MPN/100ml
)","Total Coliform (MPN/100ml
)",Fecal Streptococci (MPN/100ml),Carbonate (CO3-) (mg/L),"Bicarbonate (HCO3-)
(mg/L)",Turbidity (mg/L),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Ammonical- N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Mg as CaCo3 (mg/L),Sulphate (mg/L),Sodium (mg/L),"Total Dissolved
Solids (mg/L)",Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Year
73,4523,NALLURAHALLI LAKE,"D (Propagation of wild life,fisheries)",5.4,7.8,520,6.0,1.8,7000.0,92000.0,,3(BDL),92,7.2,5(BDL),92.0,80,72,0.4,116,64,52,12,49,352,0.42,0.5(BDL),14,0.24,2023
74,5560,"Hoodi (Rajapalya Lake) Itpl Main Road, Near","D (Propagation of wild life,fisheries)",4.5,7.2,627,8.0,2.0,490.0,16000.0,,3(BDL),108,5.2,5(BDL),108.0,100,96,0.4,136,76,60,26,78,426,1,0.5(BDL),20,0.23,2023
75,4514,SADARAMANGALA LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.2,8.5,565,17.0,2.0,3400.0,35000.0,,16,116,36.6,8,124.0,80,120,2.0,124,72,52,17,63,378,0.92,0.5(BDL),17,0.2(BDL),2023
76,4518,GARUDACHARPALYA TANK,"D (Propagation of wild life,fisheries)",5,8.2,995,7.0,3.4,460.0,9200.0,,3(BDL),176,5.8,5(BDL),176.0,168,88,0.4,240,128,112,16,106,666,2,0.5(BDL),20,0.2(BDL),2023
77,5562,"Mahadevpura Lake, K. R. Puram , Bangalore East Taluka","E (Irrigation, industrial cooling and controlled waste)",3.2,8.7,563,3.2,2.0,3100.0,35000.0,,16,124,34.6,8,132.0,88,132,2.1,124,68,56,12,64,378,0.91,0.5(BDL),15,0.2(BDL),2023
78,3610,TUBARAHALLI TANK,"D (Propagation of wild life,fisheries)",4.6,7.5,1025,8.0,4.0,7000.0,92000.0,,3(BDL),152,7.8,5(BDL),152.0,188,96,0.4,224,120,104,25,115,682,2,0.5(BDL),16,0.22,2023
79,3632,VEERAPURA TANK,"D (Propagation of wild life,fisheries)",5.8,7.5,878,5.0,4.0,340.0,16000.0,,3(BDL),172,16.5,5(BDL),172.0,72,48,0.49,300,156,144,75,78,596,0.83,0.5(BDL),5,0.2(BDL),2023
80,4503,MADHURE TANK,"D (Propagation of wild life,fisheries)",5.8,7.2,897,6.0,4.0,340.0,54000.0,,3(BDL),188,20.6,5(BDL),188.0,188,56,0.56,308,160,148,101,80,692,0.77,0.5(BDL),7,0.21,2023
81,4525,SEETHARAMPALYA LAKE,"D (Propagation of wild life,fisheries)",4.6,8.2,994,8.0,3.4,4000.0,54000.0,,3(BDL),184,12.7,5(BDL),184.0,100,92,0.4,236,124,112,16,105,668,2,0.5(BDL),21,0.2(BDL),2023
82,4535,GUBBALAL LAKE,"D (Propagation of wild life,fisheries)",6.2,6.5,314,4.0,1.2,,,,3(BDL),96,2.6,5(BDL),96.0,20,40,0.4,112,60,52,13,25,220,0.2(BDL),0.5(BDL),6,0.2(BDL),2023
83,3633,SUBRAMANYAPURA TANK,"D (Propagation of wild life,fisheries)",5.6,7.5,647,4.0,2.47,,,,3(BDL),180,4.2,5(BDL),180.0,76,46,0.4,164,84,80,26,59,454,0.2(BDL),0.5(BDL),13,0.36,2023
84,3634,DEVARAKERE TANK,"D (Propagation of wild life,fisheries)",6.4,6.5,280,4.0,1.07,,,,3(BDL),96,2.9,5(BDL),96.0,16,42,0.4,104,56,48,11,23,194,0.2(BDL),0.5(BDL),6,0.2(BDL),2023
85,3641,DHOREKERE TANK,"D (Propagation of wild life,fisheries)",6.1,7.2,351,4.0,1.34,,,,3(BDL),108,8.8,5(BDL),108.0,36,44,0.4,152,80,72,14,28,244,0.2(BDL),0.5(BDL),7,0.2(BDL),2023
86,4536,HOSAKEREHALLI LAKE,"D (Propagation of wild life,fisheries)",4.8,8.5,845,5.0,3.24,,,,3(BDL),184,2.2,12,196.0,120,52,0.4,248,128,120,34,78,592,0.26,0.5(BDL),17,0.3,2023
87,3640,UTTARAHALLI DORAIKERE,"D (Propagation of wild life,fisheries)",6.6,8.2,226,4.0,0.86,,,,3(BDL),72,14.6,5(BDL),72.0,24,40,0.4,96,52,44,9,19,158,0.2(BDL),0.5(BDL),5,0.2(BDL),2023
88,3636,HOSKERE LAKE,"E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),6.7,839,44.0,3.22,,,,3(BDL),296,5.2,5(BDL),296.0,84,210,14.6,192,100,92,34,76,590,0.31,0.5(BDL),16,0.23,2023
89,4534,SOMPURA LAKE,"D (Propagation of wild life,fisheries)",4.6,8.4,1457,4.0,5.5,,,,3(BDL),308,5.2,5(BDL),324.0,180,48,0.4,256,132,124,59,127,1030,0.29,0.5(BDL),29,0.66,2023
90,4537,CHINNAKURCHI KERE,"D (Propagation of wild life,fisheries)",5.5,8.5,1230,4.0,4.72,,,,3(BDL),484,1.2,24,508.0,96,46,0.4,268,140,128,50,108,864,0.29,0.5(BDL),25,0.72,2023
91,5565,Kannur lake,"D (Propagation of wild life,fisheries)",4.4,6.5,483,8.0,2.0,47000.0,540000.0,,3(BDL),124,15.6,3(BDL),124.0,112,77,0.4,132,68,64,5(BDL),61,330,0.2(BDL),0.5(BDL),18,0.3,2023
92,3618,Singasandra Lake,"D (Propagation of wild life,fisheries)",4.1,7.5,859,13.0,2.5,2700.0,24000.0,,3(BDL),244,32,3(BDL),244.0,132,125,0.91,232,124,108,13,84,586,0.36,0.5(BDL),11,0.44,2023
93,3627,Jakkur Lake,"E (Irrigation, industrial cooling and controlled waste)",3,8.1,556,13.0,2.0,9400.0,160000.0,,3(BDL),100,66,3(BDL),100.0,84,128,1.9,104,56,48,24,62,378,0.3,0.5(BDL),13,0.2(BDL),2023
94,3630,Yelahanka Lake,"D (Propagation of wild life,fisheries)",4.4,7.3,611,5.0,2.0,480.0,3500.0,,3(BDL),120,4.6,3(BDL),120.0,108,56,1.65,128,68,60,16,71,514,0.1,0.5(BDL),20,0.3,2023
95,5571,Kudlu Doddakere Village,"D (Propagation of wild life,fisheries)",5.9,1.9,860,4.0,3.28,480.0,16000.0,,3(BDL),192,5.4,3(BDL),192.0,140,48,0.38,228,116,112,35,78,602,0.27,0.5(BDL),16,0.26,2023
96,5572,Kudlu Chikkakere  Village,"D (Propagation of wild life,fisheries)",6.1,8.1,864,4.0,3.3,460.0,9200.0,,3(BDL),196,5.6,3(BDL),196.0,144,44,0.4,232,120,112,35,79,604,0.29,0.5(BDL),17,0.32,2023
97,4521,Devarabesanahalli Lake,"D (Propagation of wild life,fisheries)",5.8,6.7,219,5.0,1.8,410.0,9200.0,,3(BDL),48,14.4,3(BDL),48.0,36,43,0.44,80,44,36,8,31,160,0.23,0.5(BDL),8,0.2(BDL),2023
98,3596,NAYANDANAHALLI TANK,"D (Propagation of wild life,fisheries)",5.8,7.9,648,4.0,2.47,,,,3(BDL),168,1.6,3(BDL),168.0,80,44,0.42,180,96,84,26,59,456,0.2(BDL),0.5(BDL),13,0.35,2023
