Sl.No,STN Code,Name Of Monitoring Location,Use Based Class,Temperature,Dissolved O2 (mg/L),pH,Conductivity (&micro;mho/cm),"BOD
(mg/L)",NitrateN (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Fecal Streptococci (MPN/100ml),Carbonate (CO3-)(mg/L),"Bicarbonate (HCO3-)
(mg/L)",Turbidity (mg/L),Phenolpthalein Alkalinity,Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Mg as CaCo3 (mg/L),Sulphate (mg/L),Sodium (mg/L),"Total Dissolved Solids
(mg/L)",Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Cadmium (mg/L),Copper (mg/L),Lead (mg/L),Chromium Total (mg/L),Nickel (mg/L),Zinc (mg/L),Iron (mg/L),Manganese (mg/L),Year
1,1388,ULSOOR LAKE TRAINING CENTRE OF FISH BREEDING,"D (Propagation of wild life,fisheries)",30.0,5.7,8.2,340,5.0,1.0,4600,54000,,3(BDL),60,7.8,5(BDL),60.0,52.0,64,0.4,80,48,32,21,46,232,0.21,0.5(BDL),15,0.2(BDL),50.0,2.0,0.57,0.00042(BDL),0.021,0.00031(BDL),0.00056(BDL),0.014,0.073,0.069,0.00043(BDL),2023
2,3593,ULSOOR LAKE TEMPLE,"D (Propagation of wild life,fisheries)",30.0,5.1,8.0,344,7.0,1.0,7000,92000,,3(BDL),64,6.2,5(BDL),64.0,52.0,98,0.4,60,36,24,20,42,234,0.28,0.5(BDL),14,0.2(BDL),54.0,3.0,0.8,0.00042(BDL),0.064,0.00031(BDL),0.00056(BDL),0.00054(BDL),0.203,0.073,0.00043(BDL),2023
3,5568,"Ulsoor Lake Near Kalyani,Bengaluru","D (Propagation of wild life,fisheries)",30.0,5,8.2,342,7.0,1.0,4000,54000,,3(BDL),72,5.6,5(BDL),72.0,52.0,96,0.43,64,40,24,21,44,234,0.27,0.5(BDL),15,0.2(BDL),53.0,2.0,0.75,0.00042(BDL),0.015,0.00031(BDL),0.00056(BDL),0.00054(BDL),0.05,0.055,0.00043(BDL),2023
4,5569,"Byrasandra Upper Lake,Bengaluru","E (Irrigation, industrial cooling and controlled waste)",30.0,3.2,6.8,1190,15.0,4.0,4800,160000,,3(BDL),200,29.2,5(BDL),200.0,60.0,112,2.8,288,152,136,245,52,794,0.29,0.5(BDL),31,0.22,26.0,1.5,,0.00042(BDL),0.006,0.00031(BDL),0.00056(BDL),0.004,0.022,0.034,0.009,2023
5,3595,BYRASANDRA TANK,"D (Propagation of wild life,fisheries)",30.0,5.1,6.9,500,7.0,2.0,4300,92000,,3(BDL),116,12.2,5(BDL),116.0,36.0,88,0.4,132,72,60,25,39,338,0.52,0.5(BDL),13,0.2(BDL),36.0,1.4,1.42,0.00042(BDL),0.004,0.00031(BDL),0.00056(BDL),0.00054(BDL),0.012,0.065,0.007,2023
6,4505,NELAMANGALA LAKE,"E (Irrigation, industrial cooling and controlled waste)",31.0,3.2,7.1,1156,12.0,5.0,4300,92000,,3(BDL),264,3.6,5(BDL),264.0,204.0,108,0.4,292,152,140,39,89,786,0.56,0.5(BDL),42,0.42,36.0,2.0,1.2,0.00042(BDL),0.012,0.00031(BDL),0.006,0.00054(BDL),0.00059(BDL),0.8,0.099,2023
7,3624,PUTTENAHALLI LAKE,"D (Propagation of wild life,fisheries)",28.0,5.2,7.5,497,6.0,2.0,700,16000,,3(BDL),112,12.8,5(BDL),112.0,56.0,56,0.41,124,68,56,14,33,338,0.34,0.5(BDL),2,0.2(BDL),35.0,1.0,0.77,0.00042(BDL),0.005,0.00031(BDL),0.00056(BDL),0.00054(BDL),0.014,0.058,0.00043(BDL),2023
8,3625,HEBBAL LAKE,"D (Propagation of wild life,fisheries)",26.0,6.1,7.6,412,4.0,1.0,4100,24000,,3(BDL),88,4.4,5(BDL),88.0,56.0,40,0.4,144,80,64,16,38,282,0.31,0.5(BDL),10,0.2(BDL),34.0,16.0,0.97,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.00067(BDL),0.00043(BDL),2023
9,3629,ALLALASANDRA LAKE,"E (Irrigation, industrial cooling and controlled waste)",28.0,3.2,6.6,592,20.0,2.0,4700,54000,,3(BDL),88,7.2,5(BDL),88.0,108.0,152,2.2,136,76,60,14,66,400,0.8,0.5(BDL),27,0.2(BDL),0.53,1.3,2.47,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.009,0.125,0.005,2023
10,3630,YELAHANKA TANK,"D (Propagation of wild life,fisheries)",29.0,6.1,7.5,407,4.0,1.0,430,5400,,3(BDL),88,3.8,5(BDL),88.0,52.0,40,0.4,136,72,64,15,36,274,0.31,0.5(BDL),11,0.2(BDL),34.0,,0.95,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.026,0.00043(BDL),2023
11,3627,JAKKUR LAKE,"D (Propagation of wild life,fisheries)",29.0,5.3,6.7,588,6.0,2.0,4800,92000,,3(BDL),88,4.1,5(BDL),88.0,104.0,72,0.4,132,72,60,15,67,394,0.87,0.5(BDL),27,0.28,46.0,3.0,3,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.023,0.00043(BDL),2023
12,3626,NAGAVARA LAKE,"D (Propagation of wild life,fisheries)",28.0,6.1,6.9,666,4.0,2.0,460,16000,,3(BDL),148,2.6,5(BDL),148.0,100.0,40,0.4,172,92,80,9,64,444,0.28,0.5(BDL),25,0.2(BDL),40.0,0.28,0.83,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.00067(BDL),0.00043(BDL),2023
13,4507,CHELEKERE LAKE,"D (Propagation of wild life,fisheries)",28.0,6,7.5,412,4.0,1.0,4900,54000,,3(BDL),88,4.8,5(BDL),88.0,56.0,40,0.4,120,68,52,16,35,282,0.29,0.5(BDL),10,0.2(BDL),36.0,1.5,0.74,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.00067(BDL),0.00043(BDL),2023
14,4510,RACHENAHALLI LAKE,"D (Propagation of wild life,fisheries)",29.0,4.2,7.6,509,5.0,2.0,700,9200,,3(BDL),100,9.2,5(BDL),100.0,52.0,40,0.56,120,64,56,46,39,346,0.25,0.5(BDL),18,0.2(BDL),37.0,2.0,0.62,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.02,0.006,0.00067(BDL),0.00043(BDL),2023
15,4511,KOGILU KERE,"D (Propagation of wild life,fisheries)",29.0,4.2,7.5,489,4.0,2.0,6300,54000,,3(BDL),96,12.6,5(BDL),96.0,72.0,40,0.58,104,56,48,10,39,332,0.2(BDL),0.5(BDL),18,0.2(BDL),40.0,2.0,0.35,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.012,0.046,0.00043(BDL),2023
16,4508,SINGAPURA LAKE,"D (Propagation of wild life,fisheries)",29.0,5.8,7.6,408,5.0,1.0,3400,35000,,3(BDL),80,4.3,5(BDL),80.0,56.0,60,0.4,140,76,64,19,37,278,0.31,0.5(BDL),11,0.2(BDL),34.0,2.0,0.96,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.00067(BDL),0.00043(BDL),2023
17,4509,NARASIPURA LAKE,"D (Propagation of wild life,fisheries)",28.0,6.1,7.4,498,4.0,1.0,2200,24000,,3(BDL),92,2.7,5(BDL),92.0,48.0,40,0.4,148,80,68,15,77,340,0.31,0.5(BDL),20,0.2(BDL),49.0,3.0,0.89,0.00042(BDL),0.006,0.00031(BDL),0.00056(BDL),0.004,0.01,0.00067(BDL),0.00043(BDL),2023
18,2778,RIVER ARKAVATHI AT TIPPAGONDANAHALLI RESERVOIR,"D (Propagation of wild life,fisheries)",29.0,4.4,7.1,1116,7.8,4.5,15000,160000,350.0,3(BDL),328,6.9,5(BDL),328.0,176.0,71,0.72,300,152,148,19,138,762,1.2,0.5(BDL),21,0.56,53.0,3.4,2.7,0.00042(BDL),0.008,0.00031(BDL),0.012,0.00054(BDL),0.00059(BDL),0.173,0.044,2023
19,3623,ANEKAL DODDAKERE TANK,"D (Propagation of wild life,fisheries)",28.0,5.8,7.9,1107,6.0,4.0,630,9200,,3(BDL),268,2.3,5(BDL),268.0,164.0,52,0.4,232,120,112,33,98,752,0.2(BDL),0.5(BDL),14,0.2(BDL),26.0,3.0,0.38,0.00042(BDL),0.007,0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.218,0.041,2023
20,3642,JIGANI TANK,"D (Propagation of wild life,fisheries)",27.0,6.1,7.2,981,6.0,4.0,460,9200,,3(BDL),208,5.4,5(BDL),208.0,176.0,56,0.4,224,116,108,10,90,668,0.23,0.5(BDL),8,0.21,25.0,3.0,0.56,0.00042(BDL),0.009,0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.108,0.034,2023
21,4537,CHINNAKURCHI KERE,"D (Propagation of wild life,fisheries)",30.0,4.5,8.1,1210,7.0,5.0,1700,24000,,3(BDL),428,6.7,5(BDL),428.0,116.0,76,0.4,232,120,112,46,112,822,0.46,0.5(BDL),11,0.71,50.0,3.0,0.53,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.566,0.024,2023
22,4534,SOMPURA LAKE,"E (Irrigation, industrial cooling and controlled waste)",24.7,3.5,7.0,462,17.0,2.0,4800,35000,,3(BDL),136,7.3,5(BDL),136.0,28.0,120,4.7,100,56,44,16,44,318,0.48,0.5(BDL),13,0.2(BDL),45.0,2.0,0.58,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.004,0.00059(BDL),1.775,0.103,2023
23,3643,BENNIGANAHALLI LAKE,"D (Propagation of wild life,fisheries)",27.0,4.8,6.7,586,7.0,2.0,480,16000,,3(BDL),84,8.2,5(BDL),84.0,76.0,64,0.4,136,72,64,24,41,398,0.4,0.5(BDL),2,0.2(BDL),39.0,2.0,0.93,0.00042(BDL),0.621,0.084,0.00056(BDL),0.006,2.377,0.518,0.03,2023
24,3603,VENGAIYYANAKERE( KR PURAM LAKE ),"E (Irrigation, industrial cooling and controlled waste)",19.0,1.8,6.9,930,20.0,4.0,17000,240000,,3(BDL),188,15.6,5(BDL),188.0,112.0,156,0.4,204,108,96,34,83,632,0.59,0.5(BDL),8,0.29,45.0,,1.51,0.00042(BDL),0.043,0.013,0.00056(BDL),0.00054(BDL),0.14,0.201,0.072,2023
25,4526,DEVASANDRA LAKE,"D (Propagation of wild life,fisheries)",20.0,4.2,6.5,378,8.0,2.0,480,5400,,3(BDL),64,12.8,5(BDL),64.0,56.0,72,0.4,144,76,68,15,33,256,0.49,0.5(BDL),3,0.2(BDL),32.0,1.0,1.21,0.00042(BDL),0.009,0.028,0.005,0.027,0.005,0.675,0.053,2023
26,5563,"Segehalli Lake Baavanapura Road Battarahalli , Bangalore East","D (Propagation of wild life,fisheries)",20.0,4.6,6.5,526,7.0,2.0,940,9200,,3(BDL),92,10.1,5(BDL),92.0,52.0,60,0.4,136,72,64,19,40,356,0.5,0.5(BDL),5,0.2(BDL),3.0,1.0,1.24,0.00042(BDL),0.00035(BDL),0.039,0.00056(BDL),0.00054(BDL),0.00059(BDL),1.076,0.057,2023
27,3636,HOSKERE LAKE,"E (Irrigation, industrial cooling and controlled waste)",28.0,2.2,7.1,702,18.0,4.2,7000,35000,,3(BDL),160,6.2,5(BDL),160.0,116.0,160,4.2,188,100,88,29,68,490,0.21,0.5(BDL),14,0.2(BDL),42.0,2.2,0.49,,0.00035(BDL),0.00031(BDL),0.058,0.021,0.00059(BDL),0.899,0.123,2023
28,5564,"Kannamangala Lake Hoskote Main Road , Bengalore","D (Propagation of wild life,fisheries)",25.3,6.1,7.9,1237,4.0,4.0,480,5400,,3(BDL),196,7.8,5(BDL),196.0,260.0,52,0.4,268,140,128,23,96,834,0.87,0.5(BDL),23,0.46,41.0,3.0,2,0.00042(BDL),0.00035(BDL),0.021,0.00056(BDL),0.00054(BDL),0.00059(BDL),0.013,0.036,2023
29,5566,"Basavanapura Lake Ayyappa Nagr Main Road , K. R. Puram , Bengaluru","D (Propagation of wild life,fisheries)",21.0,5.4,7.0,406,6.0,1.0,230,16000,,3(BDL),104,6.2,5(BDL),104.0,52.0,56,0.4,88,52,36,18,48,274,0.57,0.5(BDL),10,0.3,51.0,2.0,2,0.00042(BDL),0.00035(BDL),0.023,0.00056(BDL),0.00054(BDL),0.00059(BDL),1.051,0.052,2023
30,3605,YELEMALLAPPA SHETTY LAKE,"E (Irrigation, industrial cooling and controlled waste)",21.0,3.9,7.2,1014,12.0,4.0,310,16000,,3(BDL),160,11.6,5(BDL),,160.0,104,2.6,212,112,100,29,87,682,0.89,0.5(BDL),23,0.28,44.0,3.0,2,0.00042(BDL),0.00035(BDL),0.015,0.00056(BDL),0.004,0.00059(BDL),1.051,0.052,2023
31,4515,BHATTARAHALLI LAKE,"D (Propagation of wild life,fisheries)",22.0,6.1,8.0,758,4.0,3.0,460,5400,,3(BDL),120,6.9,5(BDL),120.0,148.0,44,0.4,144,80,64,20,92,516,0.2(BDL),0.5(BDL),17,0.51,55.0,3.0,0.49,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.146,0.023,2023
32,3635,MALATHAHALLI LAKE,"D (Propagation of wild life,fisheries)",24.0,5.5,7.9,1072,6.0,4.0,3100,54000,,3(BDL),236,16.4,5(BDL),236.0,176.0,56,0.4,220,116,104,33,95,724,0.23,0.5(BDL),12,0.4,47.0,3.0,0.65,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.329,0.139,2023
33,4533,ULLALU LAKE,"E (Irrigation, industrial cooling and controlled waste)",26.0,3.2,6.6,972,17.0,3.0,4100,35000,,3(BDL),116,26.0,5(BDL),116.0,48.0,116,5.8,396,204,192,64,401,662,1,0.5(BDL),16,0.22,17.0,1.2,4,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.012,0.01,0.00059(BDL),3.776,0.362,2023
34,3618,SINGASANDRA LAKE,"D (Propagation of wild life,fisheries)",26.0,4.1,7.5,859,13.0,2.5,2700,24000,,3(BDL),244,32.0,5(BDL),244.0,132.0,125,0.91,232,124,108,13,84,586,0.36,0.5(BDL),11,0.44,,,,,,,,,,,,2023
35,3590,LALBAGH TANK,"D (Propagation of wild life,fisheries)",24.0,4.2,8.6,403,8.0,1.6,2200,24000,,3(BDL),96,8.4,5(BDL),96.0,68.0,76,0.65,104,56,48,12,35,274,0.2(BDL),0.5(BDL),4,0.26,40.0,1.3,0.05(BDL),0.00042(BDL),0.021,0.00031(BDL),0.00056(BDL),0.00054(BDL),0.109,0.00067(BDL),0.029,2023
36,3613,GOTTIGERE LAKE,"E (Irrigation, industrial cooling and controlled waste)",28.0,2.8,6.5,480,14.0,2.0,1700,24000,,3(BDL),136,14.6,5(BDL),136.0,,124,6.8,116,64,52,10,35,326,0.45,0.5(BDL),4,0.31,38.0,136.0,1.39,0.00042(BDL),0.01,0.00031(BDL),0.00056(BDL),0.00054(BDL),0.079,1.273,0.076,2023
37,3589,MADIWALA TANK,"E (Irrigation, industrial cooling and controlled waste)",28.0,2.6,6.9,566,14.0,2.0,4700,92000,,3(BDL),112,8.9,5(BDL),112.0,,128,5.2,100,52,48,18,48,384,0.5,0.5(BDL),4,0.35,14.0,2.08,1.54,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.00067(BDL),0.00043(BDL),2023
38,3616,KALENA AGRAHARA LAKE,"D (Propagation of wild life,fisheries)",27.0,4.9,7.4,492,7.0,2.0,580,16000,,3(BDL),116,9.2,5(BDL),116.0,68.0,60,0.4,104,56,12,,38,334,0.2(BDL),0.5(BDL),3,0.29,43.0,2.0,0.05(BDL),0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.167,0.043,2023
39,3615,ARAKERE LAKE,"D (Propagation of wild life,fisheries)",28.0,4.2,7.6,786,8.0,3.0,6300,54000,,3(BDL),176,,5(BDL),,,88,0.89,180,96,84,,69,534,0.56,0.5(BDL),5,0.39,44.0,2.0,1.72,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.123,0.048,2023
40,3622,SOMASUNDRAPALYA LAKE,"D (Propagation of wild life,fisheries)",27.0,5.2,7.7,794,6.0,3.0,4800,35000,,3(BDL),144,10.8,5(BDL),,,56,0.72,96,52,44,5(BDL),69,540,0.2(BDL),0.5(BDL),6,0.36,58.0,3.0,0.05(BDL),0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.029,0.00043(BDL),2023
41,3612,AGARAM LAKE,"D (Propagation of wild life,fisheries)",28.0,4.1,7.2,620,9.0,3.0,2200,24000,,3(BDL),100,5.6,5(BDL),100.0,112.0,80,0.85,124,68,56,14,53,422,0.48,0.5(BDL),6,0.31,46.0,2.0,1.48,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.025,0.00054(BDL),0.00059(BDL),0.21,0.063,2023
42,3619,BEGUR TANK,"D (Propagation of wild life,fisheries)",28.0,4.1,7.7,791,9.0,3.0,9400,92000,,3(BDL),144,6.9,5(BDL),144.0,132.0,84,0.99,100,56,44,6,71,538,0.2(BDL),0.5(BDL),6,0.35,58.0,3.0,0.05(BDL),0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.009,0.027,2023
43,4544,KOTHANURU LAKE,"E (Irrigation, industrial cooling and controlled waste)",28.0,3.1,6.8,561,12.0,2.0,7900,54000,,3(BDL),92,7.2,5(BDL),92.0,84.0,116,2.5,104,56,48,17,48,380,0.5,0.5(BDL),4,0.32,48.0,2.0,1.54,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.15,0.019,2023
44,3611,KAIKONDANAHALLI LAKE,"E (Irrigation, industrial cooling and controlled waste)",27.0,3.3,8.0,840,12.0,3.0,9400,160000,,3(BDL),152,12.8,5(BDL),152.0,140.0,108,2.1,184,96,88,29,71,570,0.72,0.5(BDL),6,0.2(BDL),44.0,2.3,2.23,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.969,0.067,2023
45,4504,SARAKKI LAKE,"D (Propagation of wild life,fisheries)",25.0,5.7,7.5,711,4.0,2.73,790,16000,,3(BDL),160,3.7,5(BDL),160.0,116.0,48,0.73,192,100,92,29,67,496,0.21,0.5(BDL),14,0.2(BDL),41.0,2.1,0.47,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.084,0.006,2023
46,3638,YELACHENAHALLI LAKE,"D (Propagation of wild life,fisheries)",26.0,6.9,8.5,261,4.0,1.0,310,5400,,3(BDL),68,4.9,5(BDL),68.0,40.0,40,0.54,56,32,24,11,23,182,0.2(BDL),0.5(BDL),5,0.2(BDL),45.0,1.4,0.05(BDL),0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.381,0.089,2023
47,3592,YEDIYUR TANK,"D (Propagation of wild life,fisheries)",26.0,6.8,8.4,261,4.0,0.9,840,16000,,24,48,5.1,12,60.0,36.0,43,0.61,52,28,24,9,20,162,0.2(BDL),0.5(BDL),5,0.2(BDL),43.0,1.4,0.05(BDL),0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.382,0.06,2023
48,3591,KEMPAMBUDHI TANK,"E (Irrigation, industrial cooling and controlled waste)",26.0,2.1,7.9,362,22.0,1.38,7900,35000,,3(BDL),80,6.3,5(BDL),60.0,56.0,160,3.8,96,52,44,15,33,252,0.41,0.5(BDL),7,0.2(BDL),41.0,1.5,0.98,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.229,0.133,2023
49,4529,KASAVANAHALLI LAKE,"D (Propagation of wild life,fisheries)",25.0,5.8,8.0,728,5.0,3.0,4900,24000,,3(BDL),144,5.3,5(BDL),144.0,128.0,60,0.4,108,60,48,6,86,492,0.2(BDL),0.5(BDL),56,0.32,51.0,4.0,0.38,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.00067(BDL),0.02,2023
50,3621,HARALUR LAKE,"D (Propagation of wild life,fisheries)",25.0,4.5,8.4,798,8.0,3.0,4800,35000,,16,124,6.6,8,132.0,116.0,92,0.52,180,96,84,29,83,538,1.4,0.5(BDL),23,0.25,46.0,3.0,4.8,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.63,0.06,2023
51,4542,BASAVANAPURA LAKE,"D (Propagation of wild life,fisheries)",25.0,5.7,6.5,540,5.0,2.0,4300,92000,,3(BDL),124,6.6,5(BDL),124.0,68.0,64,0.49,132,72,60,12,52,372,0.91,0.5(BDL),13,0.2(BDL),43.0,2.0,3,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),1.581,0.079,2023
52,4543,KODI SINGASANDRA LAKE,"D (Propagation of wild life,fisheries)",23.0,5.4,7.7,589,6.0,2.0,2300,24000,,3(BDL),112,4.9,5(BDL),112.0,84.0,56,0.4,112,64,48,27,73,396,0.31,0.5(BDL),18,0.31,42.0,3.0,0.9,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.039,0.043,2023
53,3620,PARAPPANA AGRAHARA LAKE,"D (Propagation of wild life,fisheries)",22.0,5.5,8.2,800,6.0,3.0,3100,35000,,3(BDL),136,5.4,5(BDL),136.0,120.0,72,0.4,176,96,80,31,84,540,0.31,0.5(BDL),22,0.25,47.0,3.0,0.89,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.287,0.043,2023
54,4547,MANGAMANAPALYA LAKE(SWARANA KUNTE),"D (Propagation of wild life,fisheries)",23.0,6,7.5,719,4.0,3.0,470,9200,,3(BDL),128,3.9,5(BDL),128.0,128.0,48,0.4,112,64,48,5(BDL),83,502,0.2(BDL),0.5(BDL),51,0.29,50.0,3.4,0.55,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.00067(BDL),0.02,2023
55,3609,IBBALUR LAKE,"D (Propagation of wild life,fisheries)",23.0,6.1,7.6,595,4.0,2.0,410,16000,,3(BDL),100,4.6,5(BDL),100.0,100.0,40,0.4,124,68,56,12,75,402,0.6,0.5(BDL),10,0.24,54.0,,2,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.00067(BDL),0.024,2023
56,4528,DODDAKANNEHALLI LAKE,"D (Propagation of wild life,fisheries)",25.0,5,8.4,800,7.0,3.0,4000,54000,,3(BDL),148,13.1,12,148.0,124.0,84,0.59,176,96,80,31,86,540,0.81,0.5(BDL),22,0.25,48.0,3.0,2.2,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.389,0.047,2023
57,3614,PUTTENAHALLI LAKE,"D (Propagation of wild life,fisheries)",25.0,5.7,7.0,346,5.0,1.0,3100,35000,,3(BDL),88,3.2,5(BDL),88.0,88.0,52,0.4,104,60,44,18,71,302,0.28,0.5(BDL),20,0.27,54.0,3.0,0.78,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.13,0.027,2023
58,4521,DEVARABEESANAHALLI LAKE,"D (Propagation of wild life,fisheries)",24.0,4.4,7.9,679,6.0,3.0,7000,92000,,3(BDL),136,16.3,5(BDL),136.0,100.0,56,0.4,124,68,56,19,82,468,0.2(BDL),0.5(BDL),34,0.31,51.0,3.0,0.07,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.159,0.021,2023
