"STN
Code",Sampling Month,Name Of Monitoring Location,Use Based Class,Dissolved O2 (mg/L),pH,"Conductivi
ty (&micro; mho/cm)","BOD
(mg/L)",NitrateN (mg/L),"Fecal
Coliform (MPN/100m
l)",Total Coliform (MPN/100ml),"Carbona te (CO3-
) (mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity (mg/L),"Phenolphthalein Alkalinity (mg/L)",Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Ammonical-N (mg/L),"Total
Hardness (mg/L)",Ca as CaCo3 (mg/L),Mg as CaCo3 (mg/L),Sulphate (mg/L),Sodium (mg/L),"Total
Dissolved Solids (mg/L)",Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Year
4541,Aug,ALUR LAKE,"D (Propagation of wild life,fisheries)",5.5,7.3,340,7.0,1.2,470,16000,3(BDL),116.0,6.4,5(BDL),116.0,32.0,70,0.74,124,68,56,11,43.0,230,0.2 (BDL),0.5(BDL),15.0,0.22,2023
4095,Aug,CHIKKABANAVARA LAKE,"D (Propagation of wild life,fisheries)",5.3,6.7,405,7.3,1.5,330,5400,3(BDL),92.0,6.8,5(BDL),92.0,28.0,68,0.7,128,64,64,29,51.0,278,0.2 (BDL),0.5(BDL),15.0,0.2(BDL),2023
4513,Aug,RAMAMMANA KERE,"D (Propagation of wild life,fisheries)",5.4,7.3,603,7.0,1.1,390,16000,3(BDL),112.0,7.4,,,,69,0.68,132,72,60,10,41.0,412,0.2 (BDL),0.5(BDL),18.0,0.2(BDL),2023
2778,Aug,RIVER ARKAVATHI AT TIPPAGONDANAHALLI RESERVOIR,"D (Propagation of wild life,fisheries)",4,7.4,2082,8.0,8.0,31,350,3(BDL),212.0,1.6,5(BDL),212.0,180.0,84,0.63,328,168,160,27,194.0,1456,1.21,0.5(BDL),21.0,0.3,2023
3597,Aug,HESARAGHATTA LAKE,"D (Propagation of wild life,fisheries)",4.8,7.2,402,7.0,1.4,320,9200,3(BDL),156.0,6.4,5(BDL),156.0,72.0,66,0.7,120,64,56,10,39.0,296,0.2 (BDL),0.5(BDL),16.0,0.28,2023
5559,Aug,"Shettihalli Lake, Mallasandra Gudde Lake Bengaluru","E (Irrigation, industrial cooling and controlled waste)",3.2,7.2,1193,17.0,4.0,4900,92000,3(BDL),276.0,4.4,5(BDL),276.0,136.0,124,1.6,280,148,132,35,188.0,794,1,0.5(BDL),17.0,0.2(BDL),2023
3607,Aug,KALKERE TANK,"D (Propagation of wild life,fisheries)",4.1,7.3,590,12.0,1.7,41000,350000,3(BDL),168.0,22.9,5(BDL),168.0,88.0,116,0.94,156,84,72,9,58.0,404,0.25,0.5(BDL),7.0,0.27,2023
4519,Aug,RAMPURA LAKE,"E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),7.2,2231,23.0,6.8,34000,240000,3(BDL),632.0,32.1,5(BDL),632.0,348.0,189,4.2,616,316,300,36,215.0,1520,0.93,0.5(BDL),28.0,0.62,2023
4535,Aug,GUBBALAL LAKE,"E (Irrigation,
industrial cooling and controlled waste)",0.3(BDL),6.5,645,124.0,3.0,4600,35000,3(BDL),120.0,76.2,5(BDL),120.0,72.0,418,16.8,232,120,112,75,59.0,444,0.2 (BDL),0.5(BDL),21.0,0.3,2023
3633,Aug,SUBRAMANYAPURA TANK,"D (Propagation of wild life,fisheries)",7.2,7.5,903,15.0,3.0,4700,92000,3(BDL),240.0,21.4,5(BDL),240.0,116.0,128,1.7,208,120,88,51,138.0,614,0.37,0.5(BDL),15.0,0.43,2023
3634,Aug,DEVARAKERE TANK,"D (Propagation of wild life,fisheries)",5.4,8.0,431,7.0,2.0,4800,160000,3(BDL),120.0,34,5(BDL),120.0,40.0,68,0.8,140,76,64,5(BDL),64.0,296,0.2 (BDL),0.5(BDL),9.0,0.2(BDL),2023
4534,Aug,SOMPURA LAKE,"D (Propagation of
wild life,fisheries)",4.5,7.6,855,8.0,3.0,4100,54000,3(BDL),228.0,26,5(BDL),228.0,128.0,80,0.48,212,112,100,42,118.0,558,0.35,0.5(BDL),17.0,0.37,2023
3641,Aug,DHOREKERE TANK,"D (Propagation of wild life,fisheries)",4.2,8.0,517,5.0,2.0,4300,92000,3(BDL),120.0,57,5(BDL),120.0,44.0,48,0.5,292,152,140,9,73.0,356,0.3,0.5(BDL),10.0,0.2(BDL),2023
3640,Aug,UTTARAHALLI DORAIKERE,"E (Irrigation, industrial cooling and controlled
waste)",0.3(BDL),7.7,471,170.0,2.0,4900,35000,3(BDL),104.0,38,5(BDL),104.0,52.0,594,2.1,178,80,68,13,76.0,324,0.2 (BDL),0.5(BDL),11.0,0.2(BDL),2023
