STN Code,Name Of Monitoring Location,Use Based Class,Temperature in o C,Dissolved O2 (mg/L),pH,Conductivity (micro;mho/c m),"BOD
(mg/L)",NitrateN (mg/L),NitriteN (mg/L),"Fecal Coliform (MPN/100ml)","Total Coliform (MPN/100ml)",Fecal Streptococci (MPN/100ml),"Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity (mg/L),"Phenolphthalein Alkalinity
(mg/L)",Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)","Total Kjeldahl Nitrogen
(mg/L)",Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Ca,Mg as CaCo3 (mg/L),Mg,Sulphate (mg/L),Sodium (mg/L),"Total Dissolved Solids
(mg/L)","Total Suspended Solids
(mg/L)",Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
4542,Basavanapura Lake,"D (Propagation of wild life,fisheries)",26.0,5.7,7.3,1273.0,6.0,5.13,0.28,2600.0,11000.0,,3(BDL),148.0,78.0,5(BDL),148.0,256.0,56.0,1.5(BDL),0.52,196.0,104.0,42.0,92.0,22.0,37.0,117.0,864.0,98,1.03,0.5(BDL),10.0,0.29,55.0,4.0,2.78,2024
4543,Kodi Singasandra Lake,"D (Propagation of wild life,fisheries)",26.0,6,7.1,773.0,4.0,2.7,0.02(BDL),2100.0,3500.0,,3(BDL),168.0,16.4,5(BDL),168.0,112.0,40.0,1.5(BDL),0.4,172.0,92.0,37.0,80.0,19.0,61.0,97.0,518.0,22,0.25,0.5(BDL),32.0,0.48,50.0,3.0,0.66,2024
4544,Kothanuru Lake,"D (Propagation of wild life,fisheries)",26.0,5.6,6.9,1552.0,6.0,6.66,0.39,140.0,2400.0,,3(BDL),116.0,28.0,5(BDL),116.0,376.0,56.0,1.5(BDL),0.4,232.0,120.0,48.0,112.0,27.0,41.0,144.0,1054.0,30,1.34,0.5(BDL),12.0,0.38,56.0,4.11,3.71,2024
4547,Mangamanapalya Lake(Swarana Kunte),"D (Propagation of wild life,fisheries)",26.0,4.5,8.3,428.0,6.0,1.5,0.36,2000.0,9400.0,,3(BDL),100.0,5.4,5(BDL),100.0,60.0,52.0,1.5(BDL),0.4,104.0,60.0,24.0,44.0,11.0,21.0,52.0,290.0,10(BDL),0.38,0.5(BDL),5.0,0.35,50.0,2.0,0.94,2024
5558,"Kannahalli Lake Kannahalli, Bengaluru","E (Irrigation, industrial cooling and controlled waste)",24.0,2.8,6.9,1306.0,30.0,5.06,0.28,330.0,2400.0,,3(BDL),332.0,3.9,5(BDL),332.0,228.0,208.0,5.63,4.4,396.0,204.0,82.0,192.0,47.0,34.0,111.0,888.0,10(BDL),0.6,0.5(BDL),8.0,0.2(BDL),37.0,2.43,1.6,2024
5559,"Shettihalli Lake, Mallasandra Gudde Lake Bengaluru","D (Propagation of wild life,fisheries)",24.0,5.7,6.7,767.0,5.0,0.3(BDL),2.7,24.0,1600.0,,3(BDL),224.0,5.4,5(BDL),224.0,96.0,60.0,1.5(BDL),0.4,224.0,120.0,48.0,104.0,25.0,7.0,82.0,514.0,10(BDL),0.43,0.5(BDL),11.0,0.23,43.0,2.0,1.1,2024
5560,"Hoodi (Rajapalya Lake) Itpl Main Road, Near Hoodi, Bengaluru","D (Propagation of wild life,fisheries)",27.0,4.9,7.1,640.0,7.0,2.2,0.02(BDL),230.0,2400.0,,3(BDL),80.0,5.7,5(BDL),80.0,100.0,84.0,1.5(BDL),0.52,132.0,72.0,29.0,60.0,15.0,33.0,81.0,424.0,10(BDL),0.47,0.5(BDL),27.0,0.3,51.0,3.0,1.2,2024
5561,"Munekolalu Lake ,Marathahalli, East Taluka
,Bengaluru","D (Propagation of wild life,fisheries)",25.0,4.7,8.0,548.0,6.0,1.8,0.02(BDL),2600.0,9400.0,,3(BDL),124.0,26.8,5(BDL),124.0,88.0,72.0,1.5(BDL),0.4,144.0,76.0,30.0,68.0,17.0,22.0,53.0,368.0,32,0.2(BDL),0.5(BDL),11.0,0.23,42.0,2.0,0.05(BDL),2024
5562,"Mahadevpuraâ  Lake, K. R. Puram , Bangalore East Taluka","D (Propagation of wild life,fisheries)",26.0,6,8.1,594.0,4.0,2,0.02(BDL),1400.0,4800.0,,3(BDL),112.0,48.0,5(BDL),112.0,104.0,40.0,1.5(BDL),0.4,96.0,56.0,22.0,40.0,10.0,20.0,86.0,400.0,60,0.2(BDL),0.5(BDL),31.0,0.31,58.0,1.0,0.49,2024
5563,"Segehalli Lake Baavanapura Road Battarahalli , Bangalore East","E (Irrigation, industrial cooling and controlled waste)",26.0,3.1,6.8,913.0,10.0,3.5,0.25,200.0,3500.0,,3(BDL),212.0,7.2,5(BDL),212.0,152.0,104.0,4.9,4.1,248.0,128.0,51.0,120.0,29.0,37.0,83.0,626.0,10(BDL),0.3,0.5(BDL),18.0,0.29,40.0,2.3,0.88,2024
5564,"Kannamangala Lake Hoskote Main Road , Bengalore","D (Propagation of wild life,fisheries)",25.0,5.2,7.1,1629.0,4.0,6.3,0.58,230.0,3500.0,,3(BDL),380.0,4.1,5(BDL),380.0,276.0,44.0,1.5(BDL),0.48,444.0,228.0,91.0,216.0,53.0,66.0,150.0,1120.0,10(BDL),1.38,0.5(BDL),33.0,0.37,40.0,3.1,1.31,2024
5565,Kannur Lake Near By Hennur Road Bengalore,"D (Propagation of wild life,fisheries)",26.0,6.2,7.7,1013.0,4.0,4.08,0.1,1400.0,7900.0,,3(BDL),128.0,9.8,5(BDL),128.0,212.0,40.0,1.5(BDL),0.4,128.0,68.0,27.0,60.0,15.0,33.0,91.0,688.0,12,0.2(BDL),0.5(BDL),5.0,0.28,59.0,3.0,0.05(BDL),2024
5566,"Basavanapura Lake Ayyappa Nagr Main Road , K.
R. Puram , Bengaluru","D (Propagation of wild life,fisheries)",26.0,4.3,6.5,614.0,5.0,2.3,0.02(BDL),170.0,2400.0,,3(BDL),136.0,4.8,5(BDL),136.0,100.0,48.0,1.5(BDL),0.91,164.0,88.0,35.0,76.0,18.0,24.0,54.0,418.0,10(BDL),0.2(BDL),0.5(BDL),13.0,0.2(BDL),40.0,2.0,0.54,2024
5568,"Ulsoor Lake Near Kalyani,Bengaluru","D (Propagation of wild life,fisheries)",30.0,5.5,8.5,376.0,7.0,1.51,0.02(BDL),17.0,94.0,,16,88.0,33.6,8,96.0,56.0,64.0,1.5(BDL),0.4,68.0,40.0,16.0,28.0,7.0,22.0,25.0,256.0,42,0.2(BDL),0.5(BDL),2.0,0.22,43.0,1.31,0.05(BDL),2024
5569,"Byrasandra Upper Lake,Bengaluru","D (Propagation of wild life,fisheries)",30.0,4.2,7.0,550.0,9.0,2.21,0.02(BDL),1700.0,13000.0,,3(BDL),176.0,26.2,5(BDL),176.0,56.0,84.0,1.5(BDL),0.92,156.0,84.0,34.0,72.0,18.0,18.0,43.0,374.0,30,0.67,0.5(BDL),3.0,0.32,36.0,1.5,1.77,2024
5570,"Soulkere, Kaikondrahalli Vill,Bengaluru","D (Propagation of wild life,fisheries)",25.0,6.3,7.4,861.0,5.0,3.87,0.02(BDL),270.0,3500.0,,3(BDL),80.0,10.2,5(BDL),80.0,80.0,44.0,1.5(BDL),0.62,128.0,68.0,27.0,60.0,15.0,29.0,62.0,584.0,12,0.2(BDL),0.5(BDL),4.0,0.26,50.0,2.38,0.43,2024
5571,"Kudlu Doddakere, Kudlu Vill,Bengaluru","D (Propagation of wild life,fisheries)",26.0,4.6,8.2,1266.0,27.0,4.4,,210.0,5400.0,,3(BDL),188.0,157.0,5(BDL),188.0,240.0,72.0,1.5(BDL),0.5,256.0,136.0,54.0,120.0,29.0,99.0,121.0,850.0,172,2.4,0.5(BDL),14.0,0.3,49.0,3.0,6.3,2024
5572,"Kudlu Chikkakere, Bgp Layout Kudlu Vill , Bengaluru","D (Propagation of wild life,fisheries)",25.0,5.4,8.7,490.0,6.0,0.3(BDL),1.7,1100.0,4800.0,,8,100.0,13.8,5(BDL),108.0,68.0,56.0,1.5(BDL),0.4,148.0,80.0,32.0,68.0,17.0,23.0,45.0,332.0,20,0.48,4,4.0,0.28,39.0,1.6,1.2,2024
5574,"Anjanapura Lake ( Avala Halli Lake) Anjanapura,Bengaluru","D (Propagation of wild life,fisheries)",26.0,6.3,8.2,468.0,4.0,1.6,0.02(BDL),330.0,3500.0,,3(BDL),108.0,21.7,5(BDL),108.0,76.0,36.0,1.5(BDL),0.4,88.0,52.0,21.0,36.0,9.0,14.0,68.0,316.0,30,0.26,0.5(BDL),27.0,0.49,54.0,3.0,0.69,2024

