SLNO,STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,TEMP,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,FECALSTREPTOCOCCI,CARBONATE,BICARBONATE,TURBIDITY_MGL,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,CA,MGASCACO3,MG,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,FREEAMMONIAASN,ORTHOPHOSPHATE,YEAR
11,3597.0,Hesaraghatta Lake,"D (Propagation of wild life,fisheries)",26.0,5.3,7.0,394.0,7.0,1.4,14.0,1600.0,,3(BDL),116.0,7.8,5(BDL),116.0,48.0,65.0,1.5(BDL),0.85,128.0,68.0,27.0,60.0,15.0,44,45.0,286.0,10(BDL),0.2(BDL),0.5(BDL),19.0,0.2(BDL),39.0,1.7,BDL,0.5,2024
12,3598.0,Herohalli Tank,"D (Propagation of wild life,fisheries)",26.0,4.4,7.1,529.0,4.0,2.0,2200.0,9400.0,,3(BDL),120.0,19.6,5(BDL),120.0,84.0,44.0,1.5(BDL),0.79,140.0,72.0,29.0,68.0,17.0,22,49.0,364.0,26,0.2(BDL),0.5(BDL),11.0,0.2(BDL),40.0,1.8,BDL,0.44,2024
13,3599.0,Anchepalya Lake,"D (Propagation of wild life,fisheries)",26.0,4.4,6.7,429.0,8.0,8.3,2100.0,9400.0,,3(BDL),76.0,9.2,5(BDL),76.0,84.0,76.0,1.5(BDL),0.9,108.0,60.0,24.0,40.0,10.0,20,69.0,304.0,12,0.2(BDL),0.5(BDL),22.0,0.2(BDL),52.0,2.9,BDL,0.6,2024
14,3601.0,Karihobanahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",25.0,1.4,7.7,3020.0,28.0,10.5,450000.0,2300000.0,,3(BDL),620.0,15.9,5(BDL),620.0,570.0,168.0,31,23.0,570.0,300.0,120.0,270.0,66.0,57,424.0,1998.0,22,2.5,0.5(BDL),32.0,0.34,60.0,8.0,BDL,7,2024
15,3602.0,Bellandur Lake,"D (Propagation of wild life,fisheries)",27.0,4.4,7.1,646.0,8.0,2.3,2200.0,13000.0,,3(BDL),84.0,32.3,5(BDL),84.0,100.0,96.0,1.5(BDL),0.4,96.0,56.0,22.0,40.0,10.0,38,78.0,432.0,40,0.26,0.5(BDL),21.0,0.34,58.0,3.0,BDL,0.66,2024
16,3603.0,Vengaiyyanakere( Kr Puram Lake ),"E (Irrigation, industrial cooling and controlled waste)",19.0,3.1,7.1,1517.0,21.0,5.8,320.0,3500.0,,3(BDL),352.0,8.9,5(BDL),352.0,252.0,155.0,4.8,3.9,412.0,212.0,85.0,200.0,49.0,62,121.0,1048.0,10(BDL),0.61,0.5(BDL),30.0,0.47,37.0,2.6,BDL,1.79,2024
17,3604.0,Doddanekkundi Lake,"D (Propagation of wild life,fisheries)",25.0,4.4,7.6,2241.0,11.0,10.0,2200.0,7000.0,,3(BDL),424.0,10.6,5(BDL),424.0,548.0,103.0,1.5(BDL),0.76,488.0,248.0,99.0,240.0,58.0,59,291.0,1536.0,14,3,0.5(BDL),26.0,0.2(BDL),55.0,5.8,BDL,5.8,2024
18,3605.0,Yelemallappa Shetty Lake,"D (Propagation of wild life,fisheries)",22.0,4.4,7.0,1730.0,5.0,6.6,220.0,2400.0,,3(BDL),396.0,10.8,5(BDL),396.0,288.0,60.0,1.5(BDL),0.52,472.0,240.0,96.0,232.0,56.0,70,138.0,1204.0,14,0.37,0.5(BDL),35.0,0.29,37.0,2.76,BDL,1.01,2024
19,3606.0,Dasarahalli Tank,"E (Irrigation, industrial cooling and controlled waste)",28.0,0.5,6.7,383.0,18.0,1.7,1400.0,24000.0,,3(BDL),80.0,13.6,5(BDL),80.0,64.0,120.0,2.6,2.0,136.0,72.0,29.0,64.0,16.0,55,56.0,280.0,16,1,0.5(BDL),20.0,0.2(BDL),42.0,2.0,BDL,3,2024
20,3607.0,Kalkere Tank,"E (Irrigation, industrial cooling and controlled waste)",26.0,0.3(BDL),7.7,1253.0,148.0,4.0,2300.0,9400.0,,3(BDL),500.0,198.0,5(BDL),500.0,200.0,992.0,23.92,18.4,280.0,150.0,60.0,130.0,32.0,9,118.0,864.0,256,0.59,0.5(BDL),26.0,0.2(BDL),45.0,3.0,BDL,2.08,2024
21,3608.0,Varthur Lake,"E (Irrigation, industrial cooling and controlled waste)",32.0,1.2,7.4,1405.0,81.0,4.8,1400.0,4800.0,,3(BDL),412.0,18.8,5(BDL),412.0,164.0,228.0,52,39.0,256.0,136.0,54.0,120.0,29.0,19,151.0,922.0,26,2.5,0.5(BDL),30.0,0.25,53.0,4.0,BDL,7.2,2024
22,3609.0,Ibbalur Lake,"D (Propagation of wild life,fisheries)",28.0,4.6,7.0,619.0,8.0,2.2,630.0,3500.0,,3(BDL),40.0,37.5,5(BDL),40.0,92.0,92.0,1.5(BDL),0.4,88.0,52.0,21.0,36.0,9.0,41,75.0,418.0,50,0.29,0.5(BDL),20.0,0.34,59.0,3.0,BDL,0.78,2024
23,3610.0,Tubarahalli Tank,"D (Propagation of wild life,fisheries)",26.0,4.4,7.0,702.0,8.0,2.4,1300.0,7000.0,,3(BDL),80.0,39.8,5(BDL),80.0,128.0,76.0,1.5(BDL),0.4,112.0,64.0,26.0,48.0,12.0,31,95.0,466.0,52,0.2(BDL),0.5(BDL),14.0,0.23,61.0,4.0,BDL,0.05(BDL),2024
24,3611.0,Kaikondanahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",28.0,1.3,7.9,2015.0,17.0,7.0,2300.0,7900.0,,3(BDL),564.0,122.0,5(BDL),564.0,332.0,132.0,2.86,2.2,340.0,176.0,70.0,164.0,40.0,108,252.0,1370.0,158,1.64,0.5(BDL),40.0,0.36,58.0,6.0,BDL,3.49,2024
25,3612.0,Agaram Lake,"E (Irrigation, industrial cooling and controlled waste)",27.0,3.4,7.4,966.0,14.0,3.1,230.0,2400.0,,3(BDL),272.0,126.0,5(BDL),272.0,148.0,145.0,9.9,7.6,260.0,136.0,54.0,124.0,30.0,15,94.0,658.0,164,0.2(BDL),0.5(BDL),12.0,0.39,43.0,2.5,BDL,0.05(BDL),2024
26,3613.0,Gottigere Lake,"D (Propagation of wild life,fisheries)",26.0,4.6,7.6,1042.0,8.0,2.5,430.0,3500.0,,3(BDL),340.0,11.4,5(BDL),340.0,184.0,79.0,1.5(BDL),0.4,344.0,180.0,72.0,164.0,40.0,20,98.0,710.0,16,1.04,0.5(BDL),11.0,0.25,37.0,3.0,BDL,3.19,2024
27,3614.0,Puttenahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",24.0,3.1,8.0,667.0,12.0,2.5,1400.0,4900.0,,3(BDL),128.0,16.0,5(BDL),128.0,100.0,116.0,1.5(BDL),0.98,128.0,72.0,29.0,56.0,14.0,11,66.0,456.0,22,0.2(BDL),0.5(BDL),8.0,0.22,50.0,2.5,BDL,0.05(BDL),2024
28,3615.0,Arakere Lake,"E (Irrigation, industrial cooling and controlled waste)",26.0,3.4,8.2,669.0,12.0,1.6,3300.0,11000.0,,3(BDL),192.0,52.0,5(BDL),192.0,132.0,147.0,1.5(BDL),0.9,172.0,92.0,37.0,80.0,19.0,20,70.0,456.0,66,1.01,0.5(BDL),7.0,0.27,46.0,2.0,BDL,3.12,2024
29,3616.0,Kalena Agrahara Lake,"D (Propagation of wild life,fisheries)",26.0,4.3,8.0,580.0,5.0,1.3,3300.0,4800.0,,3(BDL),140.0,26.6,,140.0,124.0,48.0,1.5(BDL),0.8,188.0,100.0,40.0,88.0,21.0,16,60.0,396.0,32,0.2(BDL),0.5(BDL),8.0,0.2(BDL),40.0,2.0,BDL,0.05(BDL),2024
30,3618.0,Singasandra Lake,"D (Propagation of wild life,fisheries)",25.0,4.5,8.5,634.0,6.0,1.6,2200.0,4900.0,,64,112.0,68.0,32,176.0,132.0,55.0,1.5(BDL),0.4,212.0,112.0,45.0,100.0,24.0,31,65.0,,,,,7.0,,39.0,3.0,BDL,,2024
31,3619.0,Begur Tank,"E (Irrigation, industrial cooling and controlled waste)",26.0,3.5,7.28,998.0,11.0,2.3,1700.0,7900.0,,3(BDL),200.0,14.3,5(BDL),200.0,156.0,103.0,1.5(BDL),0.61,244.0,128.0,51.0,116.0,28.0,31,92.0,680.0,18,0.2(BDL),0.5(BDL),8.0,0.42,44.0,3.0,BDL,0.05(BDL),2024
32,3620.0,Parappana Agrahara Lake,"E (Irrigation, industrial cooling and controlled waste)",28.0,2.3,8.5,1088.0,17.0,4.0,13000.0,33000.0,,24,112.0,66.2,12,136.0,212.0,168.0,4.84,3.8,152.0,80.0,32.0,72.0,18.0,42,169.0,750.0,86,0.2(BDL),0.5(BDL),40.0,0.27,70.0,6.0,BDL,0.3,2024
33,3621.0,Haralur Lake,"E (Irrigation, industrial cooling and controlled waste)",27.0,3.2,9.0,836.0,15.0,3.0,1700.0,4600.0,,16,112.0,69.4,8,128.0,148.0,140.0,2.64,2.0,120.0,64.0,26.0,56.0,14.0,30,109.0,576.0,90,0.43,0.5(BDL),30.0,0.29,59.0,4.0,BDL,1.02,2024
34,3622.0,Somasundrapalya Lake,"D (Propagation of wild life,fisheries)",28.0,4.4,8.0,694.0,7.0,2.0,2100.0,7000.0,,3(BDL),100.0,39.3,5(BDL),100.0,108.0,60.0,1.5(BDL),0.4,112.0,60.0,24.0,52.0,13.0,25,80.0,470.0,50,0.2(BDL),0.5(BDL),22.0,0.35,54.0,3.0,BDL,0.1,2024
35,3623.0,Anekal Doddakere Tank,"D (Propagation of wild life,fisheries)",34.0,6.1,7.9,1150.0,4.0,4.5,170.0,2400.0,,3(BDL),276.0,5.6,5(BDL),276.0,196.0,45.0,1.5(BDL),0.49,320.0,164.0,66.0,156.0,38.0,48,108.0,796.0,10(BDL),0.27,0.5(BDL),24.0,0.4,40.0,2.6,BDL,0.76,2024
36,3624.0,Puttenahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",26.0,2.4,7.4,770.0,38.0,2.6,1700.0,7900.0,,3(BDL),188.0,57.8,5(BDL),188.0,96.0,176.0,2.9,2.1,188.0,100.0,40.0,88.0,21.0,28,92.0,512.0,72,0.93,0.5(BDL),21.0,0.25,48.0,3.0,BDL,2.5,2024
37,3625.0,Hebbal Lake,"E (Irrigation, industrial cooling and controlled waste)",28.0,2.2,7.6,745.0,28.0,2.5,2200.0,9400.0,,3(BDL),196.0,49.2,5(BDL),196.0,96.0,172.0,1.8,1.2,168.0,92.0,37.0,76.0,18.0,26,94.0,496.0,60,0.88,0.5(BDL),21.0,0.27,51.0,3.0,BDL,2.3,2024
38,3626.0,Nagavara Lake,"E (Irrigation, industrial cooling and controlled waste)",28.0,2.6,8.2,751.0,25.0,3.0,2100.0,11000.0,,3(BDL),192.0,37.0,5(BDL),192.0,108.0,172.0,3.77,2.9,192.0,100.0,40.0,92.0,22.0,10,47.0,518.0,48,0.41,0.5(BDL),21.0,0.22,32.0,1.4,BDL,0.52,2024
39,3627.0,Jakkur Lake,"E (Irrigation, industrial cooling and controlled waste)",32.0,3,8.1,1173.0,18.0,4.0,14000.0,49000.0,,3(BDL),352.0,74.0,5(BDL),352.0,212.0,164.0,3.12,2.4,272.0,140.0,56.0,132.0,32.0,11,142.0,809.0,96,1.52,0.5(BDL),36.0,0.2(BDL),49.0,4.0,BDL,3.12,2024
40,3629.0,Allalasandra Lake,"E (Irrigation, industrial cooling and controlled waste)",28.0,3.6,8.1,1248.0,32.0,4.0,2600.0,17000.0,,3(BDL),336.0,75.0,5(BDL),336.0,224.0,188.0,5.8,4.5,296.0,152.0,61.0,144.0,35.0,10,137.0,857.0,98,1.67,0.5(BDL),35.0,0.2(BDL),46.0,3.0,BDL,3.57,2024
41,3630.0,Yelahanka Tank,"E (Irrigation, industrial cooling and controlled waste)",30.0,3.5,8.1,1255.0,31.0,4.0,2100.0,9400.0,,3(BDL),320.0,63.0,5(BDL),320.0,240.0,184.0,5.7,4.4,300.0,156.0,62.0,144.0,35.0,12,125.0,853.0,82,1.23,0.5(BDL),39.0,0.2(BDL),44.0,3.0,BDL,2.23,2024
42,3632.0,Veerapura Tank,"D (Propagation of wild life,fisheries)",32.0,4.4,7.6,692.0,8.0,2.4,3200.0,9400.0,,3(BDL),76.0,115.0,5(BDL),76.0,88.0,88.0,1.5(BDL),0.4,132.0,72.0,29.0,60.0,15.0,48,65.0,470.0,148,0.2(BDL),0.5(BDL),12.0,0.35,48.0,2.0,BDL,0.48,2024
43,3633.0,Subramanyapura Tank,"D (Propagation of wild life,fisheries)",29.0,5.5,7.5,874.0,5.0,3.5,1700.0,7000.0,,3(BDL),172.0,39.6,5(BDL),172.0,144.0,48.0,1.5(BDL),0.42,164.0,88.0,35.0,76.0,18.0,35,76.0,594.0,50,0.33,0.5(BDL),4.0,0.39,50.0,3.0,BDL,0.86,2024
44,3634.0,Devarakere Tank,"D (Propagation of wild life,fisheries)",37.0,4.4,7.9,292.0,11.0,1.0,2100.0,9400.0,,3(BDL),100.0,12.8,5(BDL),100.0,32.0,104.0,1.5(BDL),0.9,68.0,40.0,16.0,28.0,7.0,6,30.0,202.0,16,0.2(BDL),0.5(BDL),12.0,0.2(BDL),44.0,1.6,BDL,0.6,2024
45,3635.0,Malathahalli Lake,"D (Propagation of wild life,fisheries)",25.3,4.6,7.7,1198.0,7.0,7.2,270.0,2400.0,,3(BDL),244.0,6.6,5(BDL),244.0,88.0,84.0,1.5(BDL),0.9,492.0,252.0,101.0,240.0,58.0,120,217.0,824.0,10(BDL),0.2(BDL),0.5(BDL),41.0,0.29,46.0,4.2,BDL,0.4,2024
46,3636.0,Hoskere Lake,"D (Propagation of wild life,fisheries)",28.0,5.2,6.9,919.0,6.0,3.7,330.0,3500.0,,3(BDL),308.0,27.0,5(BDL),308.0,80.0,56.0,1.5(BDL),0.4,292.0,152.0,61.0,140.0,34.0,20,79.0,624.0,36,0.2(BDL),0.5(BDL),6.0,0.27,36.0,2.0,BDL,0.36,2024
47,3638.0,Yelachenahalli Lake,"D (Propagation of wild life,fisheries)",28.0,4.7,7.4,466.0,5.0,1.79,1700.0,4800.0,,3(BDL),104.0,4.9,5(BDL),104.0,76.0,45.0,1.5(BDL),0.68,124.0,68.0,27.0,56.0,14.0,19,40.0,318.0,10(BDL),0.2(BDL),0.5(BDL),9.0,0.2(BDL),39.0,1.5,BDL,0.05(BDL),2024
48,3640.0,Uttarahalli Doraikere,"E (Irrigation, industrial cooling and controlled waste)",27.9,0.9,6.9,1893.0,40.0,6.9,78000.0,330000.0,,3(BDL),692.0,48.0,5(BDL),692.0,228.0,273.0,37.2,28.6,560.0,300.0,120.0,260.0,63.0,23,203.0,1296.0,62,4.5,0.5(BDL),36.0,0.2(BDL),42.0,3.7,BDL,10.5,2024
49,3641.0,Dhorekere Tank,"E (Irrigation, industrial cooling and controlled waste)",37.6,1.2,6.6,675.0,28.0,2.3,2200.0,7900.0,,3(BDL),228.0,206.0,5(BDL),228.0,52.0,188.0,26.5,20.4,104.0,56.0,22.0,48.0,12.0,19,72.0,470.0,264,3.3,0.5(BDL),22.0,0.2(BDL),52.0,3.0,BDL,6.9,2024
50,3642.0,Jigani Tank,"D (Propagation of wild life,fisheries)",33.0,6.2,7.8,1147.0,4.0,4.4,580.0,3500.0,,3(BDL),268.0,5.2,5(BDL),268.0,188.0,44.0,1.5(BDL),0.4,312.0,160.0,64.0,152.0,37.0,47,105.0,790.0,10(BDL),0.25,0.5(BDL),23.0,0.38,40.0,2.6,BDL,0.71,2024
51,3643.0,Benniganahalli Lake,"D (Propagation of wild life,fisheries)",19.0,6.2,7.3,571.0,4.0,2.19,580.0,3500.0,,3(BDL),128.0,4.9,5(BDL),128.0,92.0,45.0,1.5(BDL),0.4,152.0,80.0,32.0,72.0,18.0,23,50.0,392.0,10(BDL),0.2(BDL),0.5(BDL),11.0,0.29,39.0,1.76,BDL,0.5,2024
52,4094.0,Gangondanahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",27.0,0.3(BDL),7.3,3010.0,86.0,11.5,13000000.0,33000000.0,,3(BDL),704.0,18.2,5(BDL),704.0,512.0,383.0,32,26.0,824.0,416.0,166.0,408.0,99.0,123,241.0,2088.0,22,1.48,0.5(BDL),60.0,0.29,37.0,3.6,BDL,4.01,2024
53,4095.0,Chikkabanavara Lake,"E (Irrigation, industrial cooling and controlled waste)",26.0,0.9,7.6,1268.0,17.0,6.7,1100.0,7900.0,,3(BDL),476.0,14.4,5(BDL),476.0,296.0,116.0,1.7,1.3,536.0,272.0,109.0,264.0,64.0,40,195.0,882.0,18,1.4,0.5(BDL),34.0,0.2(BDL),42.0,3.7,BDL,2.6,2024
54,4096.0,Andhrahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",28.0,3.3,8.0,2290.0,16.0,9.24,,,,3(BDL),360.0,7.2,5(BDL),360.0,380.0,120.0,1.56,1.2,496.0,252.0,101.0,244.0,59.0,70,228.0,1556.0,10(BDL),1.02,,57.0,0.46,40.0,4.0,BDL,2.07,2024
55,4097.0,Kachohalli Lake,"E (Irrigation, industrial cooling and controlled waste)",26.0,0.3(BDL),7.6,3040.0,94.0,11.7,2600.0,7000.0,,3(BDL),712.0,17.1,5(BDL),712.0,516.0,395.0,26,21.0,832.0,420.0,168.0,412.0,100.0,124,243.0,2116.0,20,1.52,0.5(BDL),61.0,0.32,37.0,3.6,BDL,4.16,2024
56,4107.0,"River Dakshina Pinakini Near Mugalur Bridge Mugalur, Bengaluru","E (Irrigation, industrial cooling and controlled waste)",22.0,3.2,8.18,2040.0,10.0,10.9,1100000.0,3300000.0,,3(BDL),476.0,56.0,5(BDL),476.0,396.0,116.0,4,3.0,556.0,284.0,114.0,272.0,66.0,19,180.0,1386.0,74,1.25,0.5(BDL),21.0,0.4,40.0,4.0,BDL,3.8,2024
57,4503.0,Madhure Tank,"D (Propagation of wild life,fisheries)",32.0,6.2,7.5,312.0,5.0,0.85,1700.0,7900.0,,3(BDL),84.0,36.2,5(BDL),84.0,16.0,48.0,1.5(BDL),0.4,84.0,48.0,19.0,36.0,9.0,5(BDL),19.0,212.0,46,0.2(BDL),0.5(BDL),6.0,0.2(BDL),17.0,1.0,BDL,0.05(BDL),2024
58,4504.0,Sarakki Lake,"D (Propagation of wild life,fisheries)",28.0,5.1,7.8,955.0,4.0,3.67,260.0,3500.0,,3(BDL),220.0,3.9,5(BDL),220.0,160.0,44.0,1.5(BDL),0.61,252.0,132.0,53.0,120.0,29.0,39,89.0,650.0,10(BDL),0.25,0.5(BDL),19.0,0.38,41.0,2.4,BDL,0.7,2024
59,4505.0,Nelamangala Lake,"D (Propagation of wild life,fisheries)",31.0,4.2,6.9,1856.0,10.0,5.9,2200.0,4900.0,,3(BDL),524.0,3.3,5(BDL),524.0,292.0,99.0,1.5(BDL),0.99,504.0,260.0,104.0,244.0,59.0,29,179.0,1264.0,10(BDL),2,0.5(BDL),23.0,0.44,42.0,3.5,BDL,5.8,2024
60,4506.0,Abbigere Lake,"E (Irrigation, industrial cooling and controlled waste)",26.0,0.5,7.8,1392.0,20.0,6.4,3100.0,9400.0,,3(BDL),672.0,18.2,5(BDL),672.0,220.0,133.0,5.2,4.0,456.0,232.0,93.0,224.0,54.0,28,190.0,966.0,24,1.5,0.5(BDL),34.0,0.24,45.0,3.8,BDL,5.5,2024
61,4507.0,Chelekere Lake,"E (Irrigation, industrial cooling and controlled waste)",34.0,2.3,7.9,754.0,27.0,3.0,2100.0,13000.0,,3(BDL),192.0,38.0,5(BDL),192.0,92.0,172.0,3.6,2.8,176.0,92.0,37.0,84.0,20.0,11,47.0,510.0,49,0.44,0.5(BDL),23.0,0.2(BDL),37.0,2.0,BDL,0.63,2024
62,4508.0,Singapura Lake,"E (Irrigation, industrial cooling and controlled waste)",33.0,2.2,7.9,755.0,19.0,3.0,2200.0,9400.0,,3(BDL),200.0,46.0,5(BDL),200.0,104.0,168.0,3.12,2.4,192.0,100.0,40.0,92.0,22.0,10,49.0,513.0,60,0.52,0.5(BDL),22.0,0.21,33.0,2.0,BDL,0.81,2024
63,4509.0,Narasipura Lake,"E (Irrigation, industrial cooling and controlled waste)",32.0,2.4,8.0,758.0,17.0,3.0,6800.0,33000.0,,3(BDL),192.0,39.0,5(BDL),192.0,108.0,168.0,3.25,2.5,188.0,100.0,40.0,88.0,21.0,11,58.0,520.0,50,0.55,0.5(BDL),23.0,0.21,37.0,2.0,BDL,0.66,2024
64,4510.0,Rachenahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",34.0,3,8.0,931.0,17.0,3.0,1200.0,7900.0,,3(BDL),272.0,44.0,5(BDL),272.0,160.0,168.0,2.9,2.3,248.0,128.0,51.0,120.0,29.0,6,76.0,642.0,57,0.8,0.5(BDL),25.0,0.2(BDL),37.0,2.0,BDL,0.96,2024
65,4511.0,Kogilu Kere,"E (Irrigation, industrial cooling and controlled waste)",34.0,2.8,8.0,758.0,29.0,3.0,1700.0,4800.0,,3(BDL),196.0,48.0,5(BDL),196.0,96.0,172.0,3.6,2.8,176.0,92.0,37.0,84.0,20.0,10,110.0,515.0,62,0.41,0.5(BDL),21.0,0.22,55.0,3.0,BDL,0.52,2024
66,4513.0,Ramammana Kere,"D (Propagation of wild life,fisheries)",26.0,4.8,8.0,1114.0,8.0,6.0,170.0,2400.0,,3(BDL),412.0,8.4,5(BDL),412.0,292.0,70.0,1.5(BDL),0.83,556.0,284.0,114.0,272.0,66.0,5(BDL),184.0,778.0,10(BDL),1.3,0.5(BDL),37.0,0.2(BDL),40.0,3.4,BDL,4.6,2024
67,4514.0,Sadaramangala Lake,"E (Irrigation, industrial cooling and controlled waste)",27.0,3.5,7.1,819.0,19.0,3.3,1400.0,4900.0,,3(BDL),140.0,15.0,5(BDL),140.0,164.0,128.0,2,1.5,216.0,112.0,45.0,104.0,25.0,32,100.0,580.0,20,1.5,0.5(BDL),15.0,0.2(BDL),48.0,3.0,BDL,2.9,2024
68,4515.0,Bhattarahalli Lake,"D (Propagation of wild life,fisheries)",22.0,5.9,8.5,907.0,7.0,3.6,3300.0,7900.0,,40,84.0,15.1,20,124.0,176.0,60.0,1.5(BDL),0.51,80.0,44.0,18.0,36.0,9.0,34,73.0,616.0,20,0.2(BDL),0.5(BDL),6.0,0.48,64.0,4.0,BDL,0.05(BDL),2024
69,4516.0,Kundalahalli Lake,"D (Propagation of wild life,fisheries)",28.0,4.6,8.5,1581.0,8.0,5.5,320.0,3500.0,,48,156.0,77.8,24,204.0,364.0,92.0,1.5(BDL),0.4,296.0,156.0,62.0,140.0,34.0,44,201.0,1046.0,98,0.95,0.5(BDL),22.0,0.2(BDL),57.0,5.0,BDL,2.8,2024
